EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2008;0;;;;;Transferencias internas
2008;0;00;;;;Transferencias internas
2008;0;00;000;000X;;Transferencias internas
2008;1;;;;;Servicios públicos básicos
2008;1;11;;;;Justicia
2008;1;11;111;111M;;Gobierno del Poder Judicial
2008;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2008;1;11;111;111O;;Selección y formación de jueces
2008;1;11;111;111P;;Documentación y publicaciones judiciales
2008;1;11;111;111Q;;Formac. del Personal de la Admón.de Justicia
2008;1;11;112;112A;;Trib. de Justicia y Ministerio Fiscal
2008;1;11;113;113M;;Registros vinculados con la Fe Pública
2008;1;12;;;;Defensa
2008;1;12;121;121M;;Admón. y Servicios Grales. de Defensa
2008;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2008;1;12;121;121O;;Personal en reserva
2008;1;12;122;122A;;Modernización de las Fuerzas Armadas
2008;1;12;122;122B;;Programas especiales de modernización
2008;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2008;1;12;122;122N;;Apoyo Logístico
2008;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2008;1;13;131;131M;;Dirección y Serv. Generales de Seguridad y Protección Civil
2008;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2008;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2008;1;13;131;131P;;Derecho de asilo y apátridas
2008;1;13;132;132A;;Seguridad ciudadana
2008;1;13;132;132B;;Seguridad vial
2008;1;13;132;132C;;Actuaciones policiales en materia de droga
2008;1;13;133;133A;;Centros e Instituciones Penitenciarias
2008;1;13;133;133B;;Trabajo, formación y asistencia a reclusos
2008;1;13;134;134M;;Protección Civil
2008;1;13;135;135M;;Protección de datos de carácter personal
2008;1;14;;;;Política exterior
2008;1;14;141;141M;;Dirección y Servicios Generales de Asuntos Exteriores
2008;1;14;142;142A;;Acción del Estado en el exterior
2008;1;14;142;142B;;Acción diplomática ante la Unión Europea
2008;1;14;143;143A;;Cooperación para el desarrollo
2008;1;14;144;144A;;Cooperación, promoción y difusión cultural en el exterior
2008;2;;;;;Protección y promoción social
2008;2;21;;;;Pensiones
2008;2;21;211;211M;;Pensiones contributivas de la Seguridad Social
2008;2;21;211;211N;;Pensiones de Clases Pasivas
2008;2;21;211;211O;;Otras pensiones y prestaciones de Clases Pasivas
2008;2;21;212;212M;;Pensiones no contributivas y prestaciones asistenciales
2008;2;21;212;212N;;Pensiones de guerra
2008;2;21;219;219M;;Gestión de las prestaciones económicas de Seguridad Social
2008;2;21;219;219N;;Gestión de pensiones de Clases Pasivas
2008;2;22;;;;Otras prestaciones económicas
2008;2;22;221;221M;;Subsidios incapac. temporal y otras pres. econ. de Seg. Soc.
2008;2;22;222;222M;;Prestaciones económicas del Mutualismo Administrativo
2008;2;22;223;223M;;Prestaciones de garantía salarial
2008;2;23;;;;Servicios sociales y promoción social
2008;2;23;231;231A;;Plan Nacional sobre Drogas
2008;2;23;231;231B;;Acciones en favor de los emigrantes
2008;2;23;231;231C;;Servicios Sociales Seg.Social a personas con discapacidad
2008;2;23;231;231D;;Servicios Sociales de la Seguridad Social a personas mayores
2008;2;23;231;231E;;Otros servicios sociales de la Seguridad Social
2008;2;23;231;231F;;Otros servicios sociales del Estado
2008;2;23;231;231G;;Atención a la infancia y a las familias
2008;2;23;231;231H;;Integración de los inmigrantes
2008;2;23;231;231M;;Servicios sociales de la Seg. Soc. gestionados por las CC.AA
2008;2;23;231;231N;;Coordinación en materia de extranjería e inmigración
2008;2;23;232;232A;;Promoción y servicios a la juventud
2008;2;23;232;232B;;Igualdad de oportunidades entre mujeres y hombres
2008;2;23;239;239M;;Gestión de los servicios sociales de la Seguridad Social
2008;2;24;;;;Fomento del empleo
2008;2;24;241;241A;;Fomento de la inserción y estabilidad laboral
2008;2;24;241;241N;;Desarrollo de la economía social y del Fondo Social Europeo
