EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2008;G;1;;;;;Gastos de personal
2008;G;1;10;;;;Altos cargos
2008;G;1;10;100;;;Retribuciones básicas y otras remuneraciones de altos cargos
2008;G;1;10;101/02001;;;Asignación Parlamentarios Europeos
2008;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2008;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2008;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2008;G;1;10;107;;;Contribuciones a Planes de Pensiones
2008;G;1;11;;;;Personal eventual
2008;G;1;11;110;;;Retribuciones básicas y otras remuneraciones de personal eventual
2008;G;1;11;111;;;Personal eventual de las Cortes
2008;G;1;11;117;;;Contribuciones a Planes de Pensiones
2008;G;1;12;;;;Funcionarios
2008;G;1;12;120;;;Retribuciones básicas
2008;G;1;12;121;;;Retribuciones complementarias
2008;G;1;12;122;;;Retribuciones en especie
2008;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2008;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2008;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2008;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2008;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2008;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2008;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2008;G;1;12;127;;;Contribuciones a Planes de Pensiones
2008;G;1;12;129;;;Para la repercusión del complemento específico en la paga extraordinaria y otras mejoras retributivas contempladas en la presente Ley
2008;G;1;13;;;;Laborales
2008;G;1;13;130;;;Laboral fijo
2008;G;1;13;131;;;Laboral eventual
2008;G;1;13;133;;;Laboral en el extranjero
2008;G;1;13;135/02002;;;Retribuciones del personal laboral de las Cortes
2008;G;1;13;135/02003;;;Retribuciones del personal laboral de las Cortes
2008;G;1;13;135/02004;;;Retribuciones del personal laboral de la Junta Electoral Central
2008;G;1;13;137;;;Contribuciones a Planes de Pensiones
2008;G;1;14;;;;Otro personal
2008;G;1;14;143;;;Otro personal
