EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2008;01;;Casa De Su Majestad El Rey
2008;01001;;Casa De Su Majestad El Rey
2008;02;;Cortes Generales
2008;02001;;Cortes Generales
2008;02002;;Congreso De Los Diputados
2008;02003;;Senado
2008;02004;;Junta Electoral Central
2008;02005;;Defensor Del Pueblo
2008;03;;Tribunal De Cuentas
2008;03001;;Tribunal, Fiscalía Y Servicios Generales
2008;04;;Tribunal Constitucional
2008;04001;;Tribunal Constitucional
2008;05;;Consejo De Estado
2008;05001;;Consejo De Estado
2008;06;;Deuda Pública
2008;06001;;Bonos, Obligaciones Y Otras Deudas
2008;06002;;Préstamos
2008;06003;;Letras Del Tesoro
2008;06004;;Deudas Asumidas
2008;06005;;Obligaciones Diversas
2008;07;;Clases Pasivas
2008;07001;;Haberes Pasivos De Carácter Civil Y Militar
2008;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2008;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2008;08;;Consejo General Del Poder Judicial
2008;08001;;Consejo General Del Poder Judicial
2008;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2008;12001;;Ministerio, Subsecretaría Y Servicios Generales
2008;12002;;Secretaría De Estado Para La Unión Europea
2008;12003;;Secretaría De Estado De Cooperación Internacional
2008;12004;;Secretaría De Estado De Asuntos Exteriores
2008;12005;;Secretaría De Estado Para Iberoamérica
2008;12103;;Agencia Española De La Cooperación Internacional
2008;12301;;Instituto Cervantes
2008;13;;Ministerio De Justicia
2008;13001;;Ministerio, Subsecretaría Y Servicios Generales
2008;13002;;Dir. General De Relaciones Con La Administración De Justicia
2008;13003;;Dirección General De Los Registros Y Del Notariado
2008;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2008;13101;;Centro De Estudios Jurídicos
2008;13102;;Mutualidad General Judicial
2008;13301;;Agencia Española De Protección De Datos
2008;14;;Ministerio De Defensa
2008;14001;;Ministerio Y Subsecretaría
2008;14002;;Cuartel General Del Emad
2008;14003;;Secretaría De Estado De La Defensa
2008;14012;;Ejército De Tierra
2008;14017;;Armada
2008;14022;;Ejército Del Aire
2008;14104;;Fondo De Explotación De Servicios De Cría Caballar Y Remonta
2008;14107;;Gerencia De Infraestructura Y Equipamiento De La Defensa
2008;14111;;Canal De Experiencias Hidrodinámicas De El Pardo
2008;14113;;Instituto Social De Las Fuerzas Armadas
2008;14204;;Servicio Militar De Construcciones
2008;14205;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2008;14206;;Instituto Para La Vivienda De Las Fuerzas Armadas
2008;14301;;Centro Nacional De Inteligencia
2008;15;;Ministerio De Economía Y Hacienda
2008;15001;;Ministerio, Subsecretaría Y Servicios Generales
2008;15002;;Secretaría General Técnica
2008;15003;;Inspección General Del Ministerio De Economía Y Hacienda
2008;15004;;Dirección General Del Patrimonio Del Estado
2008;15005;;Secretaría De Estado De Hacienda Y Presupuestos
