EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2022;G;1;;;;;Gastos de personal
2022;G;1;10;;;;Altos cargos
2022;G;1;10;100;;;Retribuciones básicas y otras remuneraciones
2022;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2022;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2022;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2022;G;1;11;;;;Personal eventual
2022;G;1;11;110;;;Retribuciones básicas y otras remuneraciones
2022;G;1;11;111;;;Personal eventual de las Cortes
2022;G;1;12;;;;Funcionarios
2022;G;1;12;120;;;Retribuciones básicas
2022;G;1;12;121;;;Retribuciones complementarias
2022;G;1;12;122;;;Retribuciones en especie
2022;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2022;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2022;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2022;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2022;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2022;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2022;G;1;12;125/13003;;;Para retribuir al personal sustituto de la Administración de Justicia
2022;G;1;12;125/13006;;;Para retribuir al personal sustituto de la Administración de Justicia
2022;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2022;G;1;12;127;;;Contribuciones a planes de pensiones
2022;G;1;12;128;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
2022;G;1;13;;;;Laborales
2022;G;1;13;130;;;Laboral fijo
2022;G;1;13;131;;;Laboral eventual
2022;G;1;13;132;;;Retribuciones en especie
2022;G;1;13;133/15002;;;Laboral en el extranjero
2022;G;1;13;133/20007;;;Laborales en el extranjero
2022;G;1;13;135;;;Retribuciones del personal laboral de las Cortes
2022;G;1;13;137;;;Contribuciones a planes de pensiones
2022;G;1;14;;;;Otro personal
2022;G;1;14;143;;;Otro personal
2022;G;1;14;145;;;Otro Personal del Defensor del Pueblo
2022;G;1;15;;;;Incentivos al rendimiento
2022;G;1;15;150;;;Productividad
2022;G;1;15;151;;;Gratificaciones
2022;G;1;15;152/13102;;;Otros incentivos al rendimiento
2022;G;1;15;152/14001;;;Productividad del Personal Estatutario
2022;G;1;15;153;;;Complemento de dedicación especial
2022;G;1;15;154/25103;;;Otras gratificaciones por Actos de Estado
2022;G;1;15;154/26105;;;Productividad personal estatutario factor fijo
2022;G;1;15;155/15026;;;Participación del personal en los programas de calidad regulados en el Real Decreto 951/2005, de 29 de julio
2022;G;1;15;155/26105;;;Productividad personal estatutario factor variable.
2022;G;1;16;;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2022;G;1;16;160;;;Cuotas sociales
2022;G;1;16;162;;;Gastos sociales del personal
2022;G;1;16;165;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2022;G;1;18;;;;Obligaciones de ejercicios anteriores
2022;G;1;19;;;;Gastos de personal. Mecanismo de Recuperación y Resiliencia
2022;G;1;19;190/18050;;;Retribuciones básicas
2022;G;1;19;190/19104;;;Gastos de Personal. Mecanismo de Recuperación y Resiliencia
2022;G;1;19;191;;;Retribuciones complementarias
2022;G;1;19;192;;;Gastos sociales del personal
2022;G;1;19;199;;;Cuotas sociales
2022;G;2;;;;;Gastos corrientes en bienes y servicios
2022;G;2;20;;;;Arrendamientos y cánones
2022;G;2;20;200;;;Arrendamientos de terrenos y bienes naturales
2022;G;2;20;201;;;Arrendamientos para almacenamiento de productos de intervención
2022;G;2;20;202;;;Arrendamientos de edificios y otras construcciones
2022;G;2;20;203;;;Arrendamientos de maquinaria, instalaciones y utillaje
2022;G;2;20;204;;;Arrendamientos de medios de transporte
2022;G;2;20;205;;;Arrendamientos de mobiliario y enseres
2022;G;2;20;206;;;Arrendamientos de equipos para procesos de información
2022;G;2;20;207/02001;;;Alquileres
2022;G;2;20;207/02002;;;Alquileres
2022;G;2;20;207/02003;;;Alquileres
2022;G;2;20;207/02005;;;Alquileres
2022;G;2;20;207/19001;;;Arrendamientos de edificios PSA
2022;G;2;20;208;;;Arrendamientos de otro inmovilizado material
2022;G;2;20;209;;;Cánones
2022;G;2;21;;;;Reparaciones, mantenimiento y conservación
2022;G;2;21;210;;;Infraestructura y bienes naturales
2022;G;2;21;212;;;Edificios y otras construcciones
2022;G;2;21;213;;;Maquinaria, instalaciones y utillaje
2022;G;2;21;214;;;Elementos de transporte
2022;G;2;21;215;;;Mobiliario y enseres
2022;G;2;21;216;;;Equipos para procesos de la información
2022;G;2;21;217/02002;;;Gastos diversos de reparación y conservación
2022;G;2;21;217/02003;;;Gastos diversos de reparación y conservación
2022;G;2;21;217/02005;;;Gastos diversos de reparación y conservación
2022;G;2;21;217/17101;;;Instalaciones técnicas especializadas
2022;G;2;21;217/24005;;;Reparaciones, mantenimiento y conservación, para obligaciones de ejercicios anteriores
2022;G;2;21;218;;;Bienes situados en el exterior
2022;G;2;21;219;;;Otro inmovilizado material
2022;G;2;22;;;;Material, suministros y otros
2022;G;2;22;220;;;Material de oficina
2022;G;2;22;221;;;Suministros
2022;G;2;22;222;;;Comunicaciones
2022;G;2;22;223;;;Transportes
2022;G;2;22;224;;;Primas de seguros
2022;G;2;22;225;;;Tributos
2022;G;2;22;226;;;Gastos diversos
2022;G;2;22;227;;;Trabajos realizados por otras empresas y profesionales
2022;G;2;22;228/14003;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
