EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2021;01;;Casa De Su Majestad El Rey
2021;01001;;Casa De Su Majestad El Rey
2021;02;;Cortes Generales
2021;02001;;Cortes Generales
2021;02002;;Congreso De Los Diputados
2021;02003;;Senado
2021;02004;;Junta Electoral Central
2021;02005;;Defensor Del Pueblo
2021;03;;Tribunal De Cuentas
2021;03001;;Tribunal, Fiscalía Y Servicios Generales
2021;04;;Tribunal Constitucional
2021;04001;;Tribunal Constitucional
2021;05;;Consejo De Estado
2021;05001;;Consejo De Estado
2021;06;;Deuda Pública
2021;06001;;Bonos, Obligaciones Y Otras Deudas
2021;06002;;Préstamos
2021;06003;;Letras Del Tesoro
2021;06004;;Deudas Asumidas
2021;06005;;Obligaciones Diversas
2021;07;;Clases Pasivas
2021;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2021;08;;Consejo General Del Poder Judicial
2021;08001;;Consejo General Del Poder Judicial
2021;09;;Aportaciones Al Mutualismo Administrativo
2021;09001;;Dirección General De Presupuestos
2021;10;;Contratación Centralizada
2021;10001;;Dirección General De Racionalización Y Centralización De La Contratación
2021;12;;Ministerio De Asuntos Exteriores, Unión Europea Y Cooperación
2021;12001;;Ministerio, Subsecretaría Y Servicios Generales
2021;12002;;Secretaría De Estado Para La Unión Europea
2021;12003;;Secretaría De Estado De Cooperación Internacional
2021;12004;;Secretaría De Estado De Asuntos Exteriores Y Para Iberoamérica Y El Caribe
2021;12005;;Secretaría De Estado De La España Global
2021;12050;;Mecanismo De Recuperación Y Resiliencia
2021;12301;;Instituto Cervantes
2021;12302;;Agencia Española De Cooperación Internacional Para El Desarrollo
2021;13;;Ministerio De Justicia
2021;13001;;Ministerio, Subsecretaría Y Servicios Generales
2021;13002;;Secretaría De Estado De Justicia
2021;13003;;Dirección General De Seguridad Jurídica Y Fe Pública
2021;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2021;13005;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Fiscalía General
2021;13006;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Ministerio Fiscal
2021;13050;;Mecanismo De Recuperación Y Resiliencia
2021;13101;;Centro De Estudios Jurídicos
2021;13102;;Mutualidad General Judicial
2021;13301;;Agencia Española De Protección De Datos
2021;14;;Ministerio De Defensa
2021;14001;;Ministerio Y Subsecretaría
2021;14002;;Cuartel General Del Emad
2021;14003;;Secretaría De Estado De Defensa
2021;14012;;Ejército De Tierra
2021;14017;;Armada
2021;14022;;Ejército Del Aire
2021;14050;;Mecanismo De Recuperación Y Resiliencia
2021;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2021;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2021;14113;;Instituto Social De Las Fuerzas Armadas
2021;14301;;Centro Nacional De Inteligencia
2021;15;;Ministerio De Hacienda
2021;15001;;Ministerio, Subsecretaría Y Servicios Generales
2021;15002;;Secretaría General Técnica
2021;15004;;Dirección General Del Patrimonio Del Estado
2021;15005;;Secretaría De Estado De Hacienda
