EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2012;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;88534510
2012;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;681814290
2012;15106;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1399874400
2012;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;20328616750
2012;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;600000000
2012;60001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;106322962590
2012;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;54845845390
2012;98001;10;;;Sobre la renta;53689000000
2012;98001;100;;;De las personas físicas;29232000000
2012;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;29478000000
2012;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-246000000
2012;98001;101;;;De sociedades;19564000000
2012;98001;101;;00;Impuesto sobre Sociedades;19564000000
2012;98001;102;;;De no residentes;2411000000
2012;98001;102;;00;Impuesto sobre la Renta de no residentes;2411000000
2012;98001;103;;;Tributación especial por el Impuesto sobre la Renta de las Personas Físicas, el Impuesto de Sociedades y el Impuesto sobre la Renta de no Residentes. Real Decreto-Ley 12/2012;2482000000
2012;98001;11;;;Sobre el capital;120000000
2012;98001;119;;;Otros impuestos sobre el capital;120000000
2012;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;95000000
2012;98001;119;;01;Impuesto sobre el Patrimonio;25000000
2012;13102;12;;;Cotizaciones sociales;88534510
2012;14113;12;;;Cotizaciones sociales;681814290
2012;15106;12;;;Cotizaciones sociales;1399874400
2012;19101;12;;;Cotizaciones sociales;20328616750
2012;19102;12;;;Cotizaciones sociales;600000000
2012;60001;12;;;Cotizaciones sociales;106322962590
2012;98001;12;;;Cotizaciones sociales;1036845390
2012;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;88534510
2012;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;681814290
2012;15106;120;;;Cotizaciones de los regímenes especiales de funcionarios;1399874400
2012;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;1036845390
2012;98001;120;;00;Cuotas de Derechos Pasivos;1036845390
2012;13102;120;;01;Cuotas de funcionarios a Mutualidades;24108210
2012;14113;120;;01;Cuotas de funcionarios a Mutualidades;104294190
2012;15106;120;;01;Cuotas de funcionarios a Mutualidades;373975080
2012;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;64366800
2012;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;577520100
2012;15106;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1025899320
2012;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;18500
2012;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;19000
2012;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;22000
2012;60001;121;;;Cotizaciones del Regimen General;77767576090
2012;60001;122;;;Cotizaciones del R.E.T. Autonomos;10705750000
2012;60001;123;;;Cotizaciones R.E. Agrario;124800000
2012;60001;124;;;Cotizaciones R.E. Trabajadores del Mar;299390000
2012;60001;125;;;Cotizaciones R.E. Mineria del Carbon;170090000
2012;60001;126;;;Cotizaciones del R.E. Empleados de Hogar;237220000
2012;60001;127;;;Cotizaciones de acctes. trabajo y e. p.;6743480000
2012;60001;128;;;Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo;10153786500
2012;19101;129;;;Otras cotizaciones;20328616750
2012;19102;129;;;Otras cotizaciones;600000000
2012;60001;129;;;Otras cotizaciones;120870000
2012;19101;129;;00;Cuota de desempleo;18425000000
2012;19101;129;;01;Cuota de formación profesional;1890000000
2012;19102;129;;02;Cuotas empresariales al Fondo de Garantía Salarial;600000000
2012;19101;129;;03;Cuota de protección por cese de actividad;13616750
2012;98001;2;;;IMPUESTOS INDIRECTOS;21095000000
2012;98001;21;;;Sobre el Valor Añadido;13633000000
2012;98001;210;;;Impuesto sobre el Valor Añadido;13633000000
2012;98001;210;;00;IVA sobre importaciones;8528000000
2012;98001;210;;01;IVA sobre operaciones interiores;5105000000
2012;98001;22;;;Sobre consumos específicos;4502000000
2012;98001;220;;;Impuestos especiales;4502000000
2012;98001;220;;00;Sobre el alcohol y bebidas derivadas;172000000
2012;98001;220;;01;Sobre cerveza;59000000
2012;98001;220;;03;Sobre labores de tabaco;1971000000
2012;98001;220;;04;Sobre hidrocarburos;2252000000
2012;98001;220;;06;Sobre productos intermedios;4000000
2012;98001;220;;07;Sobre la electricidad;44000000
2012;98001;23;;;Sobre tráfico exterior;1452000000
2012;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1422000000
2012;98001;231;;;Exacciones reguladoras y otros gravámenes agrícolas;30000000
2012;98001;28;;;Otros impuestos indirectos;1508000000
2012;98001;280;;;Cotización, producción y almacenamiento de azúcar e isoglucosa;8000000
2012;98001;281;;;Impuesto sobre las Primas de Seguros;1392000000
2012;98001;282;;;Sobre transmisiones patrimoniales intervivos;7000000
2012;98001;283;;;Impuesto sobre actividades del juego;100000000
2012;98001;283;;00;De apuestas deportivas mutuas;66094000
2012;98001;283;;01;De apuestas hípicas mutuas;385000
2012;98001;283;;02;Del ejercicio 2011;33521000
2012;98001;289;;;Otros impuestos indirectos;1000000
2012;12401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15244910
2012;13101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;150000
2012;13102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;55000
2012;13301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9000000
2012;14104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1522000
2012;14107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1720000
2012;14111;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;850540
2012;14113;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2709000
2012;14204;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9000
2012;15101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;249770
2012;15102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;743000
2012;15104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;23500000
2012;15106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1559640
2012;15202;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;147000
2012;15302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;38205600
2012;15401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;90500
2012;16101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;856605090
2012;17238;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;960000
2012;17401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;48723850
2012;18101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4156790
2012;18103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;770000
2012;18104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;425500
2012;18105;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15000
2012;18106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;638500
2012;18201;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1214000
2012;18301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;14520000
2012;18302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4210000
2012;18401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;280000
2012;19101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;371369990
2012;19102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;22466500
2012;19104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;3073000
2012;19301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;28000
2012;20102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;45483000
2012;20207;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1020000
2012;20208;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1350000
2012;20302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;43955490
2012;23101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;423260
2012;23207;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15140
2012;23211;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8230000
2012;23225;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10505000
2012;23226;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15515000
2012;23228;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;18208450
2012;23229;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8685900
2012;23230;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;19334000
2012;23231;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8400000
2012;23232;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5831180
2012;23233;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10163400
2012;23234;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;18663650
2012;23236;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;788000
2012;23401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;16617490
2012;25101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;300000
2012;25102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;532000
2012;25103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;12310000
2012;25301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;138400
2012;25401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;54049500
2012;26102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;20000
2012;26104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;235820
2012;26106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;20000
2012;26107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;365200
2012;26108;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;87660
2012;26201;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;897450
2012;26401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;43117470
2012;27101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;6891540
2012;27102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5800000
2012;27202;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;110000
2012;27203;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;49000
2012;27204;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1516120
2012;27205;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1500000
2012;27206;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5820
2012;27301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;730000
2012;27401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;22208830
2012;60001;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1673201060
2012;98001;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5233614000
2012;14107;30;;;Tasas;100000
2012;15104;30;;;Tasas;19000000
2012;15302;30;;;Tasas;100220
2012;16101;30;;;Tasas;447216510
2012;17401;30;;;Tasas;10700000
2012;18103;30;;;Tasas;250000
2012;18104;30;;;Tasas;15000
2012;18201;30;;;Tasas;1106000
2012;18301;30;;;Tasas;500000
2012;18302;30;;;Tasas;700000
2012;20102;30;;;Tasas;45250000
2012;20207;30;;;Tasas;5000
2012;20302;30;;;Tasas;43174800
2012;23211;30;;;Tasas;20000
2012;23225;30;;;Tasas;8200000
2012;23226;30;;;Tasas;13135000
2012;23228;30;;;Tasas;11949440
2012;23229;30;;;Tasas;5288240
2012;23230;30;;;Tasas;15650000
2012;23231;30;;;Tasas;5897700
2012;23232;30;;;Tasas;3528100
2012;23233;30;;;Tasas;6998500
2012;23234;30;;;Tasas;11831500
2012;23236;30;;;Tasas;453000
2012;23401;30;;;Tasas;60000
2012;25401;30;;;Tasas;50400000
2012;26104;30;;;Tasas;235820
2012;26401;30;;;Tasas;43117470
2012;27102;30;;;Tasas;5500000
2012;27301;30;;;Tasas;730000
2012;98001;30;;;Tasas;846000000
2012;98001;300;;;Derechos por expedición de tarjetas de identidad profesional a trabajadores extranjeros;25000000
2012;98001;301;;;Canon de ocupación y aprovechamiento del dominio público marítimo-terrestre;30000000
2012;23211;302;;;Tasa por dirección e inspección de obras;20000
2012;23225;302;;;Tasa por dirección e inspección de obras;1400000
2012;23226;302;;;Tasa por dirección e inspección de obras;3500000
2012;23228;302;;;Tasa por dirección e inspección de obras;5044500
2012;23229;302;;;Tasa por dirección e inspección de obras;3060000
2012;23230;302;;;Tasa por dirección e inspección de obras;1300000
2012;23231;302;;;Tasa por dirección e inspección de obras;600000
2012;23232;302;;;Tasa por dirección e inspección de obras;1193870
2012;23233;302;;;Tasa por dirección e inspección de obras;1949600
2012;23234;302;;;Tasa por dirección e inspección de obras;2200000
2012;23236;302;;;Tasa por dirección e inspección de obras;448000
2012;98001;302;;;Tasa por dirección e inspección de obras;135000000
2012;23225;302;;00;Dirección e inspección de obras;1400000
2012;23226;302;;00;Dirección e inspección de obras;3500000
2012;23229;302;;00;Dirección e inspección de obras;3060000
2012;23230;302;;00;Dirección e inspección de obras;1300000
2012;23232;302;;00;Dirección e inspección de obras;1193870
2012;23233;302;;00;Dirección e inspección de obras;1949600
