EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2012;01;;Casa De Su Majestad El Rey
2012;01001;;Casa De Su Majestad El Rey
2012;02;;Cortes Generales
2012;02001;;Cortes Generales
2012;02002;;Congreso De Los Diputados
2012;02003;;Senado
2012;02004;;Junta Electoral Central
2012;02005;;Defensor Del Pueblo
2012;03;;Tribunal De Cuentas
2012;03001;;Tribunal, Fiscalía Y Servicios Generales
2012;04;;Tribunal Constitucional
2012;04001;;Tribunal Constitucional
2012;05;;Consejo De Estado
2012;05001;;Consejo De Estado
2012;06;;Deuda Pública
2012;06001;;Bonos, Obligaciones Y Otras Deudas
2012;06002;;Préstamos
2012;06003;;Letras Del Tesoro
2012;06004;;Deudas Asumidas
2012;06005;;Obligaciones Diversas
2012;07;;Clases Pasivas
2012;07001;;Haberes Pasivos De Carácter Civil Y Militar
2012;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2012;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2012;08;;Consejo General Del Poder Judicial
2012;08001;;Consejo General Del Poder Judicial
2012;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2012;12001;;Ministerio, Subsecretaría Y Servicios Generales
2012;12002;;Secretaría De Estado Para La Unión Europea
2012;12003;;Secretaría De Estado De Cooperación Internacional Y Para Iberoamérica
2012;12004;;Secretaría De Estado De Asuntos Exteriores
2012;12301;;Instituto Cervantes
2012;12401;;Ag. Española De Cooperación Internacional Para El Desarrollo
2012;13;;Ministerio De Justicia
2012;13001;;Ministerio, Subsecretaría Y Servicios Generales
2012;13002;;Secretaría General De La Administración De Justicia
2012;13003;;Dirección General De Los Registros Y Del Notariado
2012;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2012;13005;;Secretaría Gral. De La Administración De Justicia. Fiscalía Gral. Estado
2012;13101;;Centro De Estudios Jurídicos
2012;13102;;Mutualidad General Judicial
2012;13301;;Agencia Española De Protección De Datos
2012;14;;Ministerio De Defensa
2012;14001;;Ministerio Y Subsecretaría
2012;14002;;Cuartel General Del Emad
2012;14003;;Secretaría De Estado De La Defensa
2012;14012;;Ejército De Tierra
2012;14017;;Armada
2012;14022;;Ejército Del Aire
2012;14104;;Cría Caballar De Las Fuerzas Armadas
2012;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2012;14111;;Canal De Experiencias Hidrodinámicas De El Pardo
2012;14113;;Instituto Social De Las Fuerzas Armadas
2012;14204;;Servicio Militar De Construcciones
2012;14205;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2012;15;;Ministerio De Hacienda Y Administraciones Públicas
2012;15001;;Ministerio, Subsecretaría Y Servicios Generales
2012;15002;;Secretaría General Técnica
2012;15003;;Inspección General
2012;15004;;Dirección General Del Patrimonio Del Estado
2012;15005;;Secretaría De Estado De Hacienda
2012;15007;;Dirección General De Tributos
2012;15008;;Dirección General Del Catastro
2012;15009;;Tribunal Económico-Administrativo Central
2012;15010;;Dirección General De Ordenación Del Juego
2012;15011;;Intervención General De La Administración Del Estado
2012;15012;;Secretaría De Estado De Presupuestos Y Gastos
2012;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2012;15014;;Dirección General De Fondos Comunitarios
2012;15015;;Dirección General De Presupuestos
2012;15022;;Secretaría General De Coordinación Autonómica Y Local
2012;15026;;Secretaría De Estado De Administraciones Públicas
2012;15027;;Dirección General De Coordinación De Competencias Con Las Cc.aa. Y Las Ee.ll.
2012;15028;;Dir. General De Coordinación De La Administración Periférica Del Estado
2012;15101;;Instituto De Estudios Fiscales
