EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2018;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;98369620
2018;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;751683050
2018;15106;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1668341440
2018;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;22586804710
2018;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;513400000
2018;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;114915750000
2018;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;69490522050
2018;98001;10;;;Sobre la renta;66519000000
2018;98001;100;;;De las personas físicas;39587000000
2018;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;39831000000
2018;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-244000000
2018;98001;101;;;De sociedades;24258000000
2018;98001;101;;00;Impuesto sobre Sociedades;24258000000
2018;98001;102;;;De no residentes;2674000000
2018;98001;102;;00;Impuesto sobre la Renta de no Residentes;2674000000
2018;98001;11;;;Sobre el capital;200000000
2018;98001;119;;;Otros impuestos sobre el capital;200000000
2018;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones;131000000
2018;98001;119;;01;Impuesto sobre el Patrimonio;69000000
2018;13102;12;;;Cotizaciones sociales;98369620
2018;14113;12;;;Cotizaciones sociales;751683050
2018;15106;12;;;Cotizaciones sociales;1668341440
2018;19101;12;;;Cotizaciones sociales;22586804710
2018;19102;12;;;Cotizaciones sociales;513400000
2018;60004;12;;;Cotizaciones sociales;114915750000
2018;98001;12;;;Cotizaciones sociales;963522050
2018;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;98369620
2018;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;751683050
2018;15106;120;;;Cotizaciones de los regímenes especiales de funcionarios;1668341440
2018;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;963522050
2018;98001;120;;00;Cuotas de Derechos Pasivos;963522050
2018;13102;120;;01;Cuotas de funcionarios a Mutualidades;24436540
2018;14113;120;;01;Cuotas de funcionarios a Mutualidades;102658290
2018;15106;120;;01;Cuotas de funcionarios a Mutualidades;333095010
2018;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;73898080
2018;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;649024760
2018;15106;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1335246430
2018;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;9500
2018;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;14000
2018;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;11500
2018;60004;121;;;Cotizaciones del Regimen General;88759580000
2018;60004;122;;;Cotizaciones del R.E.T. Autonomos;11441230000
2018;60004;124;;;Cotizaciones R.E. Trabajadores del Mar;370610000
2018;60004;125;;;Cotizaciones R.E. Mineria del Carbon;108200000
2018;60004;127;;;Cotizaciones de acctes. trabajo y e. p.;7495600000
2018;60004;128;;;Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo;6607280000
2018;19101;129;;;Otras cotizaciones;22586804710
2018;19102;129;;;Otras cotizaciones;513400000
2018;60004;129;;;Otras cotizaciones;133250000
2018;19101;129;;00;Cuota de desempleo;20470978620
2018;19101;129;;01;Cuota de formación profesional;2101938990
2018;19102;129;;02;Cuotas empresariales al Fondo de Garantía Salarial;513400000
2018;19101;129;;03;Cuota de protección por cese de actividad;13887100
2018;98001;13;;;Sobre la producción y almacenamiento de energía eléctrica y combustible;1808000000
2018;98001;130;;;Sobre el valor de la producción de la energía eléctrica;1533000000
2018;98001;131;;;Impuesto sobre la producción de combustible nuclear gastado y residuos resultantes de la generación de energía nucleoeléctrica e Impuesto sobre el almacenamiento de combustible nuclear gastado y residuos radioactivos en instalaciones centralizadas;275000000
2018;98001;2;;;IMPUESTOS INDIRECTOS;47191000000
2018;98001;21;;;Sobre el Valor Añadido;34992000000
2018;98001;210;;;Impuesto sobre el Valor Añadido;34992000000
2018;98001;210;;00;IVA sobre importaciones;16107500000
2018;98001;210;;01;IVA sobre operaciones interiores;18884500000
2018;98001;22;;;Sobre consumos específicos;8463000000
2018;98001;220;;;Impuestos especiales;8463000000
2018;98001;220;;00;Sobre el alcohol y bebidas derivadas;383000000
2018;98001;220;;01;Sobre cerveza;142000000
2018;98001;220;;03;Sobre labores de tabaco;2941000000
2018;98001;220;;04;Sobre hidrocarburos;4504000000
2018;98001;220;;06;Sobre productos intermedios;9500000
2018;98001;220;;07;Sobre la electricidad;175500000
2018;98001;220;;08;Sobre carbón;308000000
2018;98001;23;;;Sobre tráfico exterior;1993000000
2018;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1991000000
2018;98001;231;;;Exacciones reguladoras y otros gravámenes agrícolas;2000000
2018;98001;28;;;Otros impuestos indirectos;1743000000
2018;98001;280;;;Cotización, producción y almacenamiento de azúcar e isoglucosa;6500000
2018;98001;281;;;Impuesto sobre las Primas de Seguros;1556000000
2018;98001;282;;;Sobre transmisiones patrimoniales intervivos;5500000
2018;98001;283;;;Impuesto sobre actividades del juego;75000000
2018;98001;283;;00;De apuestas mutuas deportivas;75000000
2018;98001;285;;;Impuesto sobre los Gases Fluorados de Efecto Invernadero;100000000
2018;12301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;52445550
2018;12302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15160490
2018;13101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;13000
2018;13102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;94440
2018;13301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9127610
2018;14101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;67049000
2018;14107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;7040000
2018;14113;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2386000
2018;15101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;110000
2018;15102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;373000
2018;15104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;27531130
2018;15106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1039590
2018;15107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1283000
2018;15301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4131830
2018;15302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;47711470
2018;16101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;930524950
2018;17101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;12914000
2018;17102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2800000
2018;17301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;78786200
2018;17302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;195450
2018;18101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5138550
2018;18102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;346900
