EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2018;01;;Casa De Su Majestad El Rey
2018;01001;;Casa De Su Majestad El Rey
2018;02;;Cortes Generales
2018;02001;;Cortes Generales
2018;02002;;Congreso De Los Diputados
2018;02003;;Senado
2018;02004;;Junta Electoral Central
2018;02005;;Defensor Del Pueblo
2018;03;;Tribunal De Cuentas
2018;03001;;Tribunal, Fiscalía Y Servicios Generales
2018;04;;Tribunal Constitucional
2018;04001;;Tribunal Constitucional
2018;05;;Consejo De Estado
2018;05001;;Consejo De Estado
2018;06;;Deuda Pública
2018;06001;;Bonos, Obligaciones Y Otras Deudas
2018;06002;;Préstamos
2018;06003;;Letras Del Tesoro
2018;06004;;Deudas Asumidas
2018;06005;;Obligaciones Diversas
2018;07;;Clases Pasivas
2018;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2018;08;;Consejo General Del Poder Judicial
2018;08001;;Consejo General Del Poder Judicial
2018;09;;Aportaciones Al Mutualismo Administrativo
2018;09001;;Dirección General De Presupuestos
2018;10;;Contratación Centralizada
2018;10001;;Dirección General De Racionalización Y Centralización De La Contratación
2018;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2018;12001;;Ministerio, Subsecretaría Y Servicios Generales
2018;12002;;Secretaría De Estado De Asuntos Europeos
2018;12003;;Secretaría De Estado De Cooperación Internacional Y Para Iberoamérica Y El Caribe
2018;12004;;Secretaría De Estado De Asuntos Exteriores
2018;12301;;Instituto Cervantes
2018;12302;;Agencia Española De Cooperación Internacional Y Para El Desarrollo
2018;13;;Ministerio De Justicia
2018;13001;;Ministerio, Subsecretaría Y Servicios Generales
2018;13002;;Secretaría De Estado De Justicia
2018;13003;;Dirección General De Los Registros Y Del Notariado
2018;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2018;13005;;Secretaría General De La Administración De Justicia. Fiscalía General Del Estado
2018;13006;;Secretaría General De La Administración De Justicia-Ministerio Fiscal
2018;13101;;Centro De Estudios Jurídicos
2018;13102;;Mutualidad General Judicial
2018;13301;;Agencia Española De Protección De Datos
2018;14;;Ministerio De Defensa
2018;14001;;Ministerio Y Subsecretaría
2018;14002;;Cuartel General Del Emad
