EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2022;0;;;;;Transferencias internas
2022;0;00;;;;Transferencias internas
2022;0;00;000;000X;;Transferencias y libramientos internos
2022;1;;;;;Servicios públicos básicos
2022;1;11;;;;Justicia
2022;1;11;111;111M;;Gobierno del Poder Judicial
2022;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2022;1;11;111;111O;;Selección y formación de jueces
2022;1;11;111;111P;;Documentación y publicaciones judiciales
2022;1;11;111;111Q;;Formación del Personal de la Administración de Justicia
2022;1;11;111;111R;;Formación de la Carrera Fiscal
2022;1;11;112;112A;;Tribunales de Justicia y Ministerio Fiscal
2022;1;11;113;113M;;Registros vinculados con la Fe Pública
2022;1;11;11K;11KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Justicia
2022;1;12;;;;Defensa
2022;1;12;121;121M;;Administración y Servicios Generales de Defensa
2022;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2022;1;12;121;121O;;Personal en reserva
2022;1;12;122;122A;;Modernización de las Fuerzas Armadas
2022;1;12;122;122B;;Programas especiales de modernización
2022;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2022;1;12;122;122N;;Apoyo Logístico
2022;1;12;12K;12KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Defensa
2022;1;12;12S;12SC;;C19.I03 Competencias digitales para el empleo. Defensa
2022;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2022;1;13;131;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil
2022;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2022;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2022;1;13;131;131P;;Derecho de asilo y apátridas
2022;1;13;132;132A;;Seguridad ciudadana
2022;1;13;132;132B;;Seguridad vial
2022;1;13;132;132C;;Actuaciones policiales en materia de droga
2022;1;13;133;133A;;Centros e Instituciones Penitenciarias
2022;1;13;134;134M;;Protección Civil
2022;1;13;135;135M;;Protección de datos de carácter personal
2022;1;13;13K;13KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Seguridad Ciudadana e Instituciones Penitenciarias
2022;1;13;13S;13SC;;C19.I03 Competencias digitales para el empleo. Seguridad Ciudadana e Instituciones Penitenciarias
2022;1;14;;;;Política exterior
2022;1;14;141;141M;;Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación
2022;1;14;142;142A;;Acción del Estado en el exterior
2022;1;14;142;142B;;Acción Diplomática ante la Unión Europea
2022;1;14;143;143A;;Cooperación para el desarrollo
2022;1;14;144;144A;;Cooperación, promoción y difusión cultural en el exterior
2022;1;14;144;144B;;Cooperación, promoción y difusión educativa en el exterior
2022;1;14;14K;14KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Política exterior
2022;1;14;14S;14SA;;C19.I01 Competencias digitales transversales. Política Exterior
2022;1;14;14S;14SB;;C19.I02 Transformación Digital de la Educación. Política Exterior
2022;1;14;14X;14XA;;C24.I01 Impulso de la competitividad de las industrias culturales. Política Exterior
2022;1;14;14Y;14YA;;C25.I01 Programa de fomento, modernización y digitalización del sector audiovisual. Política Exterior
2022;2;;;;;Protección y promoción social
2022;2;21;;;;Pensiones
2022;2;21;211;211M;;Pensiones contributivas de la Seguridad Social
2022;2;21;211;211N;;Pensiones de Clases Pasivas
2022;2;21;211;211O;;Otras pensiones y prestaciones de Clases Pasivas
