EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2022;01;;Casa De Su Majestad El Rey
2022;01001;;Casa De Su Majestad El Rey
2022;02;;Cortes Generales
2022;02001;;Cortes Generales
2022;02002;;Congreso De Los Diputados
2022;02003;;Senado
2022;02004;;Junta Electoral Central
2022;02005;;Defensor Del Pueblo
2022;03;;Tribunal De Cuentas
2022;03001;;Tribunal, Fiscalía Y Servicios Generales
2022;04;;Tribunal Constitucional
2022;04001;;Tribunal Constitucional
2022;05;;Consejo De Estado
2022;05001;;Consejo De Estado
2022;06;;Deuda Pública
2022;06001;;Bonos, Obligaciones Y Otras Deudas
2022;06002;;Préstamos
2022;06003;;Letras Del Tesoro
2022;06004;;Deudas Asumidas
2022;06005;;Obligaciones Diversas
2022;07;;Clases Pasivas
2022;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2022;08;;Consejo General Del Poder Judicial
2022;08001;;Consejo General Del Poder Judicial
2022;09;;Aportaciones Al Mutualismo Administrativo
2022;09001;;Dirección General De Presupuestos
2022;10;;Contratación Centralizada
2022;10001;;Dirección General De Racionalización Y Centralización De La Contratación
2022;12;;Ministerio De Asuntos Exteriores, Unión Europea Y Cooperación
2022;12001;;Ministerio, Subsecretaría Y Servicios Generales
2022;12002;;Secretaría De Estado Para La Unión Europea
2022;12003;;Secretaría De Estado De Cooperación Internacional
2022;12004;;Secretaría De Estado De Asuntos Exteriores Y Globales
2022;12005;;Secretaría De Estado Para Iberoamerica Y El Caribe Y El Español En El Mundo
2022;12050;;Mecanismo De Recuperación Y Resiliencia
2022;12301;;Instituto Cervantes
2022;12302;;Agencia Española De Cooperación Internacional Para El Desarrollo
2022;13;;Ministerio De Justicia
2022;13001;;Ministerio, Subsecretaría Y Servicios Generales
2022;13002;;Secretaría De Estado De Justicia
2022;13003;;Dirección General De Seguridad Jurídica Y Fe Pública
2022;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2022;13005;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Fiscalía General
2022;13006;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Ministerio Fiscal
2022;13050;;Mecanismo De Recuperación Y Resiliencia
2022;13101;;Centro De Estudios Jurídicos
2022;13102;;Mutualidad General Judicial
2022;13301;;Agencia Española De Protección De Datos
2022;14;;Ministerio De Defensa
2022;14001;;Ministerio Y Subsecretaría
2022;14002;;Cuartel General Del Emad
2022;14003;;Secretaría De Estado De Defensa
2022;14012;;Ejército De Tierra
2022;14017;;Armada
2022;14022;;Ejército Del Aire
2022;14050;;Mecanismo De Recuperación Y Resiliencia
2022;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2022;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2022;14113;;Instituto Social De Las Fuerzas Armadas
2022;14301;;Centro Nacional De Inteligencia
2022;15;;Ministerio De Hacienda Y Función Pública
2022;15001;;Ministerio, Subsecretaría Y Servicios Generales
2022;15002;;Secretaría General Técnica
2022;15004;;Dirección General Del Patrimonio Del Estado
2022;15005;;Secretaría De Estado De Hacienda
