EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2011;0;;;;;Transferencias internas
2011;0;00;;;;Transferencias internas
2011;0;00;000;000X;;Transferencias internas
2011;1;;;;;Servicios públicos básicos
2011;1;11;;;;Justicia
2011;1;11;111;111M;;Gobierno del Poder Judicial
2011;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2011;1;11;111;111O;;Selección y formación de jueces
2011;1;11;111;111P;;Documentación y publicaciones judiciales
2011;1;11;111;111Q;;Formación del Personal de la Administración de Justicia
2011;1;11;111;111R;;Formación de la Carrera Fiscal
2011;1;11;112;112A;;Tribunales de Justicia y Ministerio Fiscal
2011;1;11;113;113M;;Registros vinculados con la Fe Pública
2011;1;12;;;;Defensa
2011;1;12;121;121M;;Administración y Servicios Generales de Defensa
2011;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2011;1;12;121;121O;;Personal en reserva
2011;1;12;122;122A;;Modernización de las Fuerzas Armadas
2011;1;12;122;122B;;Programas especiales de modernización
2011;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2011;1;12;122;122N;;Apoyo Logístico
2011;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2011;1;13;131;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil
2011;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2011;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2011;1;13;131;131P;;Derecho de asilo y apátridas
2011;1;13;132;132A;;Seguridad ciudadana
2011;1;13;132;132B;;Seguridad vial
2011;1;13;132;132C;;Actuaciones policiales en materia de droga
2011;1;13;133;133A;;Centros e Instituciones Penitenciarias
2011;1;13;133;133B;;Trabajo, formación y asistencia a reclusos
2011;1;13;134;134M;;Protección Civil
2011;1;13;135;135M;;Protección de datos de carácter personal
2011;1;14;;;;Política exterior
2011;1;14;141;141M;;Dirección y Servicios Generales de Asuntos Exteriores
2011;1;14;142;142A;;Acción del Estado en el exterior
2011;1;14;142;142B;;Acción diplomática ante la Unión Europea
2011;1;14;143;143A;;Cooperación para el desarrollo
2011;1;14;144;144A;;Cooperación, promoción y difusión cultural en el exterior
2011;2;;;;;Protección y promoción social
2011;2;21;;;;Pensiones
2011;2;21;211;211M;;Pensiones contributivas de la Seguridad Social
2011;2;21;211;211N;;Pensiones de Clases Pasivas
2011;2;21;211;211O;;Otras pensiones y prestaciones de Clases Pasivas
2011;2;21;212;212M;;Pensiones no contributivas y prestaciones asistenciales
2011;2;21;212;212N;;Pensiones de guerra
2011;2;21;219;219M;;Gestión de las prestaciones económicas de Seguridad Social
2011;2;21;219;219N;;Gestión de pensiones de Clases Pasivas
2011;2;22;;;;Otras prestaciones económicas
2011;2;22;221;221M;;Subsidios de incapacidad temporal y otras prestaciones económicas de la Seguridad Social
2011;2;22;222;222M;;Prestaciones económicas del Mutualismo Administrativo
2011;2;22;223;223M;;Prestaciones de garantía salarial
2011;2;22;224;224M;;Prestaciones económicas por cese de actividad
2011;2;23;;;;Servicios sociales y promoción social
2011;2;23;231;231A;;Plan Nacional sobre Drogas
2011;2;23;231;231B;;Acciones en favor de la ciudadanía española en el exterior
2011;2;23;231;231C;;Servicios Sociales de la Seguridad Social a personas con discapacidad
2011;2;23;231;231D;;Servicios Sociales de la Seguridad Social a personas mayores
2011;2;23;231;231E;;Otros servicios sociales de la Seguridad Social
2011;2;23;231;231F;;Otros servicios sociales del Estado
2011;2;23;231;231G;;Atención a la infancia y a las familias
2011;2;23;231;231H;;Integración de los inmigrantes
2011;2;23;231;231I;;Autonomía personal y Atención a la Dependencia
2011;2;23;231;231N;;Coordinación en materia de extranjería e inmigración
2011;2;23;232;232A;;Promoción y servicios a la juventud
2011;2;23;232;232B;;Igualdad de oportunidades entre mujeres y hombres
2011;2;23;232;232C;;Actuaciones para la prevención integral de la violencia de género
2011;2;23;232;232M;;Dirección y Servicios Generales de Promoción Social
2011;2;23;239;239M;;Gestión de los servicios sociales de la Seguridad Social
2011;2;24;;;;Fomento del empleo
2011;2;24;241;241A;;Fomento de la inserción y estabilidad laboral
2011;2;24;241;241N;;Desarrollo de la economía social y de la responsabilidad social de las empresas
2011;2;25;;;;Desempleo
2011;2;25;251;251M;;Prestaciones a los desempleados
2011;2;26;;;;Acceso a la vivienda y fomento de la edificación
2011;2;26;261;261M;;Dirección y Servicios Generales de Vivienda
2011;2;26;261;261N;;Promoción, administración y ayudas para rehabilitación y acceso a vivienda
2011;2;26;261;261O;;Ordenación y fomento de la edificación
2011;2;26;261;261P;;Suelo y Políticas Urbanas
2011;2;29;;;;Gestión y administración de la Seguridad Social
2011;2;29;291;291A;;Inspección y control de Seguridad y Protección Social
2011;2;29;291;291M;;Dirección y Servicios Generales de Seguridad Social y Protección Social
2011;3;;;;;Bienes públicos de carácter preferente
2011;3;31;;;;Sanidad
2011;3;31;311;311M;;Dirección y Servicios Generales de Sanidad y Política Social
2011;3;31;311;311O;;Cohesión y calidad del Sistema Nacional de Salud
2011;3;31;312;312A;;Asistencia hospitalaria en las Fuerzas Armadas
2011;3;31;312;312B;;Atención primaria de salud. Instituto Nacional de Gestión Sanitaria
2011;3;31;312;312C;;Atención especializada de salud. Instituto Nacional de Gestión Sanitaria
2011;3;31;312;312D;;Medicina marítima
2011;3;31;312;312E;;Asistencia sanitaria del Mutualismo Administrativo
2011;3;31;312;312F;;Atención primaria de salud de Mutuas de Accidentes de Trabajo y E.P e I.S.M
2011;3;31;312;312G;;Atención especializada de salud de Mutuas de Accidentes de Trabajo y E.P e I.S.M
2011;3;31;313;313A;;Oferta y uso racional de medicamentos y productos sanitarios
2011;3;31;313;313B;;Salud pública y sanidad exterior
2011;3;31;313;313C;;Seguridad alimentaria y nutrición
2011;3;31;313;313D;;Donación y trasplante de órganos, tejidos y células
2011;3;32;;;;Educación
2011;3;32;321;321M;;Dirección y Servicios Generales de la Educación
2011;3;32;321;321N;;Formación permanente del profesorado de Educación
2011;3;32;322;322A;;Educación infantil y primaria
2011;3;32;322;322B;;Educación secundaria, formación profesional y Escuelas Oficiales de Idiomas
2011;3;32;322;322C;;Enseñanzas universitarias
2011;3;32;322;322D;;Educación especial
2011;3;32;322;322E;;Enseñanzas artísticas
2011;3;32;322;322F;;Educación en el exterior
2011;3;32;322;322G;;Educación compensatoria
2011;3;32;322;322H;;Educación permanente y a distancia no universitaria
2011;3;32;322;322I;;Enseñanzas especiales
2011;3;32;322;322J;;Nuevas tecnologías aplicadas a la educación
2011;3;32;322;322K;;Deporte en edad escolar y en la Universidad
2011;3;32;323;323M;;Becas y ayudas a estudiantes
2011;3;32;324;324M;;Servicios complementarios de la enseñanza
2011;3;32;324;324N;;Apoyo a otras actividades escolares
2011;3;33;;;;Cultura
2011;3;33;331;331M;;Dirección y Servicios Generales de Cultura
2011;3;33;332;332A;;Archivos
2011;3;33;332;332B;;Bibliotecas
2011;3;33;333;333A;;Museos
2011;3;33;333;333B;;Exposiciones
2011;3;33;334;334A;;Promoción y cooperación cultural
2011;3;33;334;334B;;Promoción del libro y publicaciones culturales
2011;3;33;334;334C;;Fomento de las industrias culturales
2011;3;33;335;335A;;Música y danza
2011;3;33;335;335B;;Teatro
2011;3;33;335;335C;;Cinematografía
2011;3;33;336;336A;;Fomento y apoyo de las actividades deportivas
2011;3;33;337;337A;;Administración del Patrimonio Histórico-Nacional
2011;3;33;337;337B;;Conservación y restauración de bienes culturales
2011;3;33;337;337C;;Protección del Patrimonio Histórico
2011;4;;;;;Actuaciones de carácter económico
2011;4;41;;;;Agricultura, pesca y alimentación
2011;4;41;411;411M;;Dirección y Servicios Generales de Agricultura, Pesca y Alimentación
2011;4;41;412;412A;;Competitividad y calidad de la producción agrícola
2011;4;41;412;412B;;Competitividad y calidad de la producción ganadera
2011;4;41;412;412M;;Regulación de los mercados agrarios
2011;4;41;413;413A;;Competitividad industria agroalimentaria y calidad alimentaria
2011;4;41;414;414A;;Gestión de Recursos Hídricos para el Regadío
2011;4;41;414;414B;;Desarrollo del medio rural
2011;4;41;414;414C;;Programa de Desarrollo Rural Sostenible
2011;4;41;415;415A;;Protección de los recursos pesqueros y desarrollo sostenible
