EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2011;01;;Casa De Su Majestad El Rey
2011;01001;;Casa De Su Majestad El Rey
2011;02;;Cortes Generales
2011;02001;;Cortes Generales
2011;02002;;Congreso De Los Diputados
2011;02003;;Senado
2011;02004;;Junta Electoral Central
2011;02005;;Defensor Del Pueblo
2011;03;;Tribunal De Cuentas
2011;03001;;Tribunal, Fiscalía Y Servicios Generales
2011;04;;Tribunal Constitucional
2011;04001;;Tribunal Constitucional
2011;05;;Consejo De Estado
2011;05001;;Consejo De Estado
2011;06;;Deuda Pública
2011;06001;;Bonos, Obligaciones Y Otras Deudas
2011;06002;;Préstamos
2011;06003;;Letras Del Tesoro
2011;06004;;Deudas Asumidas
2011;06005;;Obligaciones Diversas
2011;07;;Clases Pasivas
2011;07001;;Haberes Pasivos De Carácter Civil Y Militar
2011;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2011;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2011;08;;Consejo General Del Poder Judicial
2011;08001;;Consejo General Del Poder Judicial
2011;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2011;12001;;Ministerio, Subsecretaría Y Servicios Generales
2011;12002;;Secretaría De Estado Para La Unión Europea
2011;12003;;Secretaría De Estado De Cooperación Internacional
2011;12004;;Secretaría De Estado De Asuntos Exteriores E Iberoamericanos
2011;12301;;Instituto Cervantes
2011;12401;;Ag. Española De Cooperación Internacional Para El Desarrollo
2011;13;;Ministerio De Justicia
2011;13001;;Ministerio, Subsecretaría Y Servicios Generales
2011;13002;;Secr. Gral. De Modernización Y Relaciones Con La Admin. De Justicia
2011;13003;;Dirección General De Los Registros Y Del Notariado
2011;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2011;13005;;S. G. De Moderniz. Y Rel. Con Admon. De Justicia. Fiscalía Gral. Estado
2011;13101;;Centro De Estudios Jurídicos
2011;13102;;Mutualidad General Judicial
2011;13301;;Agencia Española De Protección De Datos
2011;14;;Ministerio De Defensa
2011;14001;;Ministerio Y Subsecretaría
2011;14002;;Cuartel General Del Emad
2011;14003;;Secretaría De Estado De La Defensa
2011;14012;;Ejército De Tierra
2011;14017;;Armada
2011;14022;;Ejército Del Aire
2011;14104;;Cría Caballar De Las Fuerzas Armadas
