EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2011;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;87417350
2011;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;731587410
2011;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;21246501800
2011;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;500000000
2011;25105;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1475639370
2011;60001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;110447120000
2011;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;55239231000
2011;98001;10;;;Sobre la renta;54042000000
2011;98001;100;;;De las personas físicas;35494000000
2011;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;35772000000
2011;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-278000000
2011;98001;101;;;De sociedades;16008000000
2011;98001;101;;00;Impuesto sobre Sociedades;16008000000
2011;98001;102;;;De no residentes;2540000000
2011;98001;102;;00;Impuesto sobre la Renta de no residentes;2540000000
2011;98001;11;;;Sobre el capital;74000000
2011;98001;119;;;Otros impuestos sobre el capital;74000000
2011;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;72000000
2011;98001;119;;01;Impuesto sobre el Patrimonio;2000000
2011;13102;12;;;Cotizaciones sociales;87417350
2011;14113;12;;;Cotizaciones sociales;731587410
2011;19101;12;;;Cotizaciones sociales;21246501800
2011;19102;12;;;Cotizaciones sociales;500000000
2011;25105;12;;;Cotizaciones sociales;1475639370
2011;60001;12;;;Cotizaciones sociales;110447120000
2011;98001;12;;;Cotizaciones sociales;1123231000
2011;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;87417350
2011;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;731587410
