EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2017;01;;Casa De Su Majestad El Rey
2017;01001;;Casa De Su Majestad El Rey
2017;02;;Cortes Generales
2017;02001;;Cortes Generales
2017;02002;;Congreso De Los Diputados
2017;02003;;Senado
2017;02004;;Junta Electoral Central
2017;02005;;Defensor Del Pueblo
2017;03;;Tribunal De Cuentas
2017;03001;;Tribunal, Fiscalía Y Servicios Generales
2017;04;;Tribunal Constitucional
2017;04001;;Tribunal Constitucional
2017;05;;Consejo De Estado
2017;05001;;Consejo De Estado
2017;06;;Deuda Pública
2017;06001;;Bonos, Obligaciones Y Otras Deudas
2017;06002;;Préstamos
2017;06003;;Letras Del Tesoro
2017;06004;;Deudas Asumidas
2017;06005;;Obligaciones Diversas
2017;07;;Clases Pasivas
2017;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2017;08;;Consejo General Del Poder Judicial
2017;08001;;Consejo General Del Poder Judicial
2017;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2017;12001;;Ministerio, Subsecretaría Y Servicios Generales
2017;12002;;Secretaría De Estado Para La Unión Europea
2017;12003;;Secretaría De Estado De Cooperación Internacional Y Para Iberoamérica
2017;12004;;Secretaría De Estado De Asuntos Exteriores
2017;12301;;Instituto Cervantes
2017;12401;;Agencia Española De Cooperación Internacional Para El Desarrollo
2017;13;;Ministerio De Justicia
2017;13001;;Ministerio, Subsecretaría Y Servicios Generales
2017;13002;;Secretaría De Estado De Justicia
2017;13003;;Dirección General De Los Registros Y Del Notariado
2017;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2017;13005;;Secretaría General De La Administración De Justicia. Fiscalía General Del Estado
2017;13006;;Secretaría General De La Administración De Justicia-Ministerio Fiscal
2017;13101;;Centro De Estudios Jurídicos
2017;13102;;Mutualidad General Judicial
2017;13301;;Agencia Española De Protección De Datos
2017;14;;Ministerio De Defensa
2017;14001;;Ministerio Y Subsecretaría
2017;14002;;Cuartel General Del Emad
2017;14003;;Secretaría De Estado De Defensa
2017;14012;;Ejército De Tierra
2017;14017;;Armada
2017;14022;;Ejército Del Aire
2017;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2017;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2017;14113;;Instituto Social De Las Fuerzas Armadas
2017;15;;Ministerio De Hacienda Y Función Pública
2017;15001;;Ministerio, Subsecretaría Y Servicios Generales
2017;15002;;Secretaría General Técnica
2017;15004;;Dirección General Del Patrimonio Del Estado
2017;15005;;Secretaría De Estado De Hacienda
2017;15006;;Dirección General De Racionalización Y Centralización De La Contratación
2017;15007;;Dirección General De Tributos
2017;15008;;Dirección General Del Catastro
2017;15009;;Tribunal Económico-Administrativo Central
2017;15010;;Dirección General De Ordenación Del Juego
2017;15011;;Intervención General De La Administración Del Estado
2017;15012;;Secretaría De Estado De Presupuestos Y Gastos
2017;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2017;15014;;Dirección General De Fondos Comunitarios
2017;15015;;Dirección General De Presupuestos
2017;15022;;Secretaría General De Financiación Autonómica Y Local
2017;15026;;Secretaría De Estado De Función Pública
2017;15029;;Secretaría General De Administración Digital
2017;15101;;Instituto De Estudios Fiscales
2017;15102;;Instituto Nacional De Administración Pública
2017;15104;;Comisionado Para El Mercado De Tabacos
2017;15106;;Mutualidad General De Funcionarios Civiles Del Estado
2017;15107;;Parque Móvil Del Estado
2017;15301;;Autoridad Independiente De Responsabilidad Fiscal
2017;15302;;Agencia Estatal De Administración Tributaria
2017;15304;;Consejo De Transparencia Y Buen Gobierno
2017;15401;;Agencia Estatal De Evaluación De Políticas Públicas Y Calidad De Los Servicios
2017;16;;Ministerio Del Interior
2017;16001;;Ministerio, Subsecretaría Y Servicios Generales
2017;16002;;Secretaría De Estado De Seguridad
2017;16003;;Dirección General De La Policía
2017;16004;;Dirección General De La Guardia Civil
2017;16005;;Secretaría General De Instituciones Penitenciarias
2017;16101;;Jefatura De Tráfico
2017;16102;;Gerencia De Infraestructuras Y Equipamiento De La Seguridad Del Estado
2017;17;;Ministerio De Fomento
2017;17001;;Ministerio, Subsecretaría Y Servicios Generales
2017;17002;;Dirección General De Programación Económica Y Presupuestos
2017;17003;;Secretaría General Técnica
2017;17009;;Dirección General De Arquitectura, Vivienda Y Suelo
2017;17018;;Dirección General Del Instituto Geográfico Nacional
2017;17020;;Secretaría De Estado De Infraestructuras, Transporte Y Vivienda
2017;17032;;Dirección General De Marina Mercante
2017;17034;;Dirección General De Aviación Civil
2017;17038;;Dirección General De Carreteras
2017;17039;;Dirección General De Transporte Terrestre
2017;17101;;Centro De Estudios Y Experimentación De Obras Públicas
2017;17102;;Centro Nacional De Información Geográfica
2017;17401;;Agencia Estatal De Seguridad Aérea
2017;17402;;Agencia Estatal De Seguridad Ferroviaria
2017;18;;Ministerio De Educación, Cultura Y Deporte
