EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2016;0;;;;;Transferencias internas
2016;0;00;;;;Transferencias internas
2016;0;00;000;000X;;Transferencias internas
2016;1;;;;;Servicios públicos básicos
2016;1;11;;;;Justicia
2016;1;11;111;111M;;Gobierno del Poder Judicial
2016;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2016;1;11;111;111O;;Selección y formación de jueces
2016;1;11;111;111P;;Documentación y publicaciones judiciales
2016;1;11;111;111Q;;Formación del Personal de la Administración de Justicia
2016;1;11;111;111R;;Formación de la Carrera Fiscal
2016;1;11;112;112A;;Tribunales de Justicia y Ministerio Fiscal
2016;1;11;113;113M;;Registros vinculados con la Fe Pública
2016;1;12;;;;Defensa
2016;1;12;121;121M;;Administración y Servicios Generales de Defensa
2016;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2016;1;12;121;121O;;Personal en reserva
2016;1;12;122;122A;;Modernización de las Fuerzas Armadas
2016;1;12;122;122B;;Programas especiales de modernización
2016;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2016;1;12;122;122N;;Apoyo Logístico
2016;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2016;1;13;131;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil
2016;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2016;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2016;1;13;131;131P;;Derecho de asilo y apátridas
2016;1;13;132;132A;;Seguridad ciudadana
2016;1;13;132;132B;;Seguridad vial
2016;1;13;132;132C;;Actuaciones policiales en materia de droga
2016;1;13;133;133A;;Centros e Instituciones Penitenciarias
2016;1;13;134;134M;;Protección Civil
2016;1;13;135;135M;;Protección de datos de carácter personal
2016;1;14;;;;Política exterior
2016;1;14;141;141M;;Dirección y Servicios Generales de Asuntos Exteriores
2016;1;14;142;142A;;Acción del Estado en el exterior
2016;1;14;142;142B;;Acción diplomática ante la Unión Europea
2016;1;14;143;143A;;Cooperación para el desarrollo
2016;1;14;144;144A;;Cooperación, promoción y difusión cultural en el exterior
2016;1;14;144;144B;;Cooperación, promoción y difusión educativa en el exterior
2016;2;;;;;Protección y promoción social
2016;2;21;;;;Pensiones
2016;2;21;211;211M;;Pensiones contributivas de la Seguridad Social
2016;2;21;211;211N;;Pensiones de Clases Pasivas
2016;2;21;211;211O;;Otras pensiones y prestaciones de Clases Pasivas
2016;2;21;212;212M;;Pensiones no contributivas y prestaciones asistenciales
2016;2;21;212;212N;;Pensiones de guerra
2016;2;21;212;212O;;Gestión y control de los complementos a mínimos de pensiones
2016;2;21;219;219M;;Gestión de las prestaciones económicas de Seguridad Social
2016;2;21;219;219N;;Gestión de pensiones de Clases Pasivas
2016;2;22;;;;Otras prestaciones económicas
2016;2;22;221;221M;;Subsidios de incapacidad temporal y otras prestaciones económicas de la Seguridad Social
2016;2;22;222;222M;;Prestaciones económicas del Mutualismo Administrativo
