EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2014;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;93735730
2014;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;658763370
2014;15106;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1430651450
2014;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;18578197260
2014;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;460000000
2014;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;102839919040
2014;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;68607755970
2014;98001;10;;;Sobre la renta;65292500000
2014;98001;100;;;De las personas físicas;41276200000
2014;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;41525400000
2014;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-249200000
2014;98001;101;;;De sociedades;22326500000
2014;98001;101;;00;Impuesto sobre Sociedades;22326500000
2014;98001;102;;;De no residentes;1689800000
2014;98001;102;;00;Impuesto sobre la Renta de no residentes;1689800000
2014;98001;11;;;Sobre el capital;376400000
2014;98001;119;;;Otros impuestos sobre el capital;376400000
2014;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;109800000
2014;98001;119;;01;Impuesto sobre el Patrimonio;16600000
2014;98001;119;;02;Otros impuestos sobre el capital;250000000
2014;13102;12;;;Cotizaciones sociales;93735730
2014;14113;12;;;Cotizaciones sociales;658763370
2014;15106;12;;;Cotizaciones sociales;1430651450
2014;19101;12;;;Cotizaciones sociales;18578197260
2014;19102;12;;;Cotizaciones sociales;460000000
2014;60004;12;;;Cotizaciones sociales;102839919040
2014;98001;12;;;Cotizaciones sociales;978695970
2014;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;93735730
2014;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;658763370
2014;15106;120;;;Cotizaciones de los regímenes especiales de funcionarios;1430651450
2014;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;978695970
2014;98001;120;;00;Cuotas de Derechos Pasivos;978695970
2014;13102;120;;01;Cuotas de funcionarios a Mutualidades;21390600
2014;14113;120;;01;Cuotas de funcionarios a Mutualidades;102393750
2014;15106;120;;01;Cuotas de funcionarios a Mutualidades;372079230
2014;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;72294630
2014;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;556369620
2014;15106;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1058572220
2014;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;15500
2014;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;17000
2014;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;18000
2014;60004;121;;;Cotizaciones del Regimen General;76052750000
2014;60004;122;;;Cotizaciones del R.E.T. Autonomos;10809010000
2014;60004;124;;;Cotizaciones R.E. Trabajadores del Mar;294710000
2014;60004;125;;;Cotizaciones R.E. Mineria del Carbon;152220000
2014;60004;127;;;Cotizaciones de acctes. trabajo y e. p.;6476270000
2014;60004;128;;;Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo;8904719040
2014;19101;129;;;Otras cotizaciones;18578197260
2014;19102;129;;;Otras cotizaciones;460000000
2014;60004;129;;;Otras cotizaciones;150240000
2014;19101;129;;00;Cuota de desempleo;16778500000
2014;19101;129;;01;Cuota de formación profesional;1777650000
2014;19102;129;;02;Cuotas empresariales al Fondo de Garantía Salarial;460000000
2014;19101;129;;03;Cuota de protección por cese de actividad;22047260
2014;98001;13;;;Impuestos sobre la producción y almacenamiento de energía eléctrica y combustible;1960160000
2014;98001;130;;;Sobre el valor de la producción de la energía eléctrica;1270100000
2014;98001;131;;;Sobre la producción de combustible nuclear gastado y residuos resultantes de la generación de energía nucleoeléctrica;270100000
2014;98001;132;;;Sobre el almacenamiento de combustible nuclear gastado y residuos radiactivos en instalaciones centralizadas;19960000
2014;98001;133;;;Sobre gases fluorados;400000000
2014;98001;2;;;IMPUESTOS INDIRECTOS;37687564000
2014;98001;21;;;Sobre el Valor Añadido;27122400000
2014;98001;210;;;Impuesto sobre el Valor Añadido;27122400000
2014;98001;210;;00;IVA sobre importaciones;9818000000
2014;98001;210;;01;IVA sobre operaciones interiores;17304400000
2014;98001;22;;;Sobre consumos específicos;7762900000
2014;98001;220;;;Impuestos especiales;7762900000
2014;98001;220;;00;Sobre el alcohol y bebidas derivadas;338700000
2014;98001;220;;01;Sobre cerveza;113300000
2014;98001;220;;03;Sobre labores de tabaco;2963600000
2014;98001;220;;04;Sobre hidrocarburos;4170300000
2014;98001;220;;06;Sobre productos intermedios;7400000
2014;98001;220;;07;Sobre la electricidad;-94400000
2014;98001;220;;08;Sobre carbón;264000000
2014;98001;23;;;Sobre tráfico exterior;1357896000
2014;98001;230;;;Derechos de aduana y exacciones de efecto equivalente establecidos para la importación o exportación de mercancías;1295000000
2014;98001;231;;;Exacciones reguladoras y otros gravámenes agrícolas;62896000
2014;98001;28;;;Otros impuestos indirectos;1444368000
2014;98001;280;;;Cotización, producción y almacenamiento de azúcar e isoglucosa;8200000
2014;98001;281;;;Impuesto sobre las Primas de Seguros;1369000000
2014;98001;282;;;Sobre transmisiones patrimoniales intervivos;4000000
2014;98001;283;;;Impuesto sobre actividades del juego;63168000
2014;98001;283;;00;De apuestas mutuas deportivas;62782990
2014;98001;283;;01;De apuestas deportivas de contrapartida;385010
2014;12301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;45050000
2014;12401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;23398010
2014;13101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;150000
2014;13102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;55000
2014;13301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9000000
2014;14107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2820000
2014;14111;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;750000
2014;14113;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2759000
2014;14204;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;18000
2014;14205;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;40562570
2014;15101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;235350
2014;15102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;673000
2014;15104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;24477990
2014;15106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;653270
2014;15202;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;995800
2014;15302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;40681840
2014;15401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;30000
2014;16101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;844273820
2014;17238;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;14811550
2014;17239;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2500000
2014;17401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;60947000
2014;18101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4650060
2014;18103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;515000
2014;18104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;482910
2014;18105;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15000
2014;18106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;473850
2014;18201;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9214000
2014;18301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;13448000
2014;18302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4789520
2014;18401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;280000
2014;19101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;235689200
2014;19102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;92473480
2014;19104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1923000
2014;19301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;28000
2014;20102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;43913200
2014;20207;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1439300
2014;20208;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;4969000
2014;20302;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;45916640
2014;23101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;101000
2014;23207;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;15140
2014;23211;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1000000
2014;23225;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;43784430
2014;23226;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;58533050
2014;23228;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;73465670
2014;23229;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;37506000
2014;23230;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;24000000
2014;23231;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9600560
2014;23232;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8346800
2014;23233;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10072250
2014;23234;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;57236200
2014;23236;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;136947500
2014;23401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;26617490
2014;25101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;300000
2014;25102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;706910
2014;25103;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;14940000
2014;25301;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;138400
2014;25401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;31813800
2014;26102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10000
2014;26104;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;300000
2014;26106;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;20000
2014;26107;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;539780
2014;26108;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;87660
2014;26201;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;897450
2014;26401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;42452120
2014;27101;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;3786790
2014;27102;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;8560000
2014;27201;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1285460
2014;27202;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5220000
2014;27203;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;5049000
2014;27204;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2000620
2014;27205;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;2902920
2014;27401;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;22090000
2014;60004;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;1326991100
2014;98001;3;;;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;3548835270
2014;14107;30;;;Tasas;1000000
2014;15104;30;;;Tasas;19500000
2014;15302;30;;;Tasas;114000
2014;16101;30;;;Tasas;460008410
2014;17401;30;;;Tasas;58600000
2014;18103;30;;;Tasas;155000
2014;18104;30;;;Tasas;25000
2014;18201;30;;;Tasas;1106000
2014;18301;30;;;Tasas;500000
2014;18302;30;;;Tasas;700000
2014;20102;30;;;Tasas;43752000
