EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;G;1;;;;;GASTOS DE PERSONAL
2014;G;1;10;;;;Altos cargos
2014;G;1;10;100/111M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/111N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/112A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/113M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/121M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/131M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/132A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/132B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/133A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/134M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/135M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/141M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/142A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/142B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/143A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/144A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/222M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/231A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/231F;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/231H;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/232A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/232B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/232C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/241A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/241N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/261N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/291A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/291M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/311M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/311O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/313A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/313B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/313C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/321M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/322C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/333A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/334A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/335A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/335C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/336A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/337A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/337C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/412C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/412D;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/412M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/413A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/414B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/415A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/415B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/421M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/421N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/422B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/424M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/425A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/431A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/431O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/432A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/451N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/451O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/452A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/452M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/453A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/453B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/453M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/454M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/455M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/456B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/456D;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/456M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/462M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/462N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/463A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/463B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/464A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/465A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/467C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/467H;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/491M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/492M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/493M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/493O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/494M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/495A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/495B;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/496M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/911O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/911P;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/912M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/912N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/912O;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/912P;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921P;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921Q;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921R;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921S;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921T;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/921V;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/922M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/922N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/923A;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/923C;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/923M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/923Q;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/931M;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/931N;;;Retribuciones básicas y otras remuneraciones
2014;G;1;10;100/931O;;;Retribuciones básicas y otras remuneraciones
