EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2014;17002;;DIRECCIÓN GENERAL DE PROGRAMACIÓN ECONÓMICA Y PRESUPUESTOS
2014;17003;;SECRETARÍA GENERAL TÉCNICA
2014;17009;;DIRECCIÓN GENERAL DE ARQUITECTURA, VIVIENDA Y SUELO
2014;17018;;DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL
2014;17020;;SECRETARÍA DE ESTADO DE INFRAESTRUCTURAS, TRANSPORTE Y VIVIENDA
2014;17032;;DIRECCIÓN GENERAL DE MARINA MERCANTE
2014;17034;;DIRECCIÓN GENERAL DE AVIACIÓN CIVIL
2014;17038;;DIRECCIÓN GENERAL DE CARRETERAS
2014;17039;;DIRECCIÓN GENERAL DE TRANSPORTE TERRESTRE
2014;17040;;DIRECCIÓN GENERAL DE FERROCARRILES
2014;17238;;CENTRO DE ESTUDIOS Y EXPERIMENTACIÓN DE OBRAS PÚBLICAS
2014;17239;;CENTRO NACIONAL DE INFORMACIÓN GEOGRÁFICA
2014;17401;;AGENCIA ESTATAL DE SEGURIDAD AÉREA
2014;18;;MINISTERIO DE EDUCACIÓN, CULTURA Y DEPORTE
2014;18001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;18002;;SECRETARÍA GENERAL TECNICA
2014;18003;;SECRET. DE ESTADO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y UNIVERSIDADES
2014;18004;;DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL
2014;18005;;DIRECCIÓN GENERAL DE FORMACIÓN PROFESIONAL
2014;18006;;SECRETARÍA GENERAL DE UNIVERSIDADES
2014;18007;;DIRECCIÓN GENERAL DE POLÍTICA UNIVERSITARIA
2014;18009;;SECRETARÍA DE ESTADO DE CULTURA
2014;18011;;D. G. DE BELLAS ARTES Y BIENES CULTURALES Y DE ARCHIVOS Y BIBLIOTECAS
2014;18013;;DIRECCIÓN GENERAL DE POLÍTICAS E INDUSTRIAS CULTURALES Y DEL LIBRO
2014;18101;;UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO
2014;18102;;PROGRAMAS EDUCATIVOS EUROPEOS
2014;18103;;INSTITUTO DE LA CINEMATOGRAFÍA Y DE LAS ARTES AUDIOVISUALES
2014;18104;;BIBLIOTECA NACIONAL
2014;18105;;GERENCIA DE INFRAESTRUCTURAS Y EQUIPAMIENTOS
2014;18106;;CONSEJO SUPERIOR DE DEPORTES
2014;18201;;INSTITUTO NACIONAL DE LAS ARTES ESCÉNICAS Y DE LA MÚSICA
2014;18301;;MUSEO NACIONAL DEL PRADO
2014;18302;;MUSEO NACIONAL CENTRO DE ARTE REINA SOFÍA
2014;18401;;AGENCIA ESPAÑOLA DE PROTECCIÓN DE LA SALUD EN EL DEPORTE
2014;19;;MINISTERIO DE EMPLEO Y SEGURIDAD SOCIAL
2014;19001;;MINISTERIO Y SUBSECRETARÍA
2014;19002;;SECRETARÍA DE ESTADO DE LA SEGURIDAD SOCIAL
2014;19003;;SECRETARÍA DE ESTADO DE EMPLEO
2014;19007;;SECRETARÍA GENERAL DE INMIGRACIÓN Y EMIGRACIÓN
2014;19101;;SERVICIO PÚBLICO DE EMPLEO ESTATAL
2014;19102;;FONDO DE GARANTÍA SALARIAL
2014;19104;;INSTITUTO NACIONAL DE SEGURIDAD E HIGIENE EN EL TRABAJO
2014;19301;;CONSEJO ECONÓMICO Y SOCIAL
2014;20;;MINISTERIO DE INDUSTRIA, ENERGÍA Y TURISMO
2014;20001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
2014;20002;;SECRETARÍA GENERAL TÉCNICA
2014;20004;;SECRETARÍA DE ESTADO DE TURISMO
2014;20012;;SECR. DE EST. DE TELECOMUN. Y PARA LA SOCIEDAD DE LA INFORMACIÓN
2014;20015;;SECRETARÍA GENERAL DE INDUSTRIA Y DE LA PEQUEÑA Y MEDIANA EMPRESA
2014;20016;;DIRECCIÓN GENERAL DE INDUSTRIA Y DE LA PEQUEÑA Y MEDIANA EMPRESA
2014;20018;;SECRETARÍA DE ESTADO DE ENERGÍA
2014;20019;;DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS
2014;20101;;INST. PARA LA REESTRUCT. DE LA MINERÍA DEL CARBÓN Y D.A.C.M.
2014;20102;;OFICINA ESPAÑOLA DE PATENTES Y MARCAS
2014;20207;;CENTRO ESPAÑOL DE METROLOGÍA
2014;20208;;INSTITUTO DE TURISMO DE ESPAÑA
2014;20302;;CONSEJO DE SEGURIDAD NUCLEAR
2014;23;;MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE
2014;23001;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES
