EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2021;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;106781330
2021;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;763064660
2021;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;23466148350
2021;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;513400000
2021;22102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1741001830
2021;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;125144250000
2021;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;70211060860
2021;98001;10;;;Sobre la renta;66797297800
2021;98001;100;;;De las personas físicas;43660336030
2021;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;43967136030
2021;98001;100;;99;Asignación tributaria a la Iglesia Católica y otros fines sociales;-306800000
2021;98001;101;;;De sociedades;21720223810
2021;98001;101;;00;Impuesto sobre Sociedades;21720223810
2021;98001;102;;;De no residentes;1416737960
2021;98001;102;;00;Impuesto sobre la Renta de no Residentes;1416737960
2021;98001;11;;;Sobre el capital;119438680
2021;98001;119;;;Otros impuestos sobre el capital;119438680
2021;98001;119;;00;Impuesto sobre Sucesiones y Donaciones;60335000
2021;98001;119;;01;Impuesto sobre el Patrimonio;59103680
2021;13102;12;;;Cotizaciones sociales;106781330
2021;14113;12;;;Cotizaciones sociales;763064660
2021;19101;12;;;Cotizaciones sociales;23466148350
2021;19102;12;;;Cotizaciones sociales;513400000
2021;22102;12;;;Cotizaciones sociales;1741001830
2021;60004;12;;;Cotizaciones sociales;125144250000
2021;98001;12;;;Cotizaciones sociales;1749221510
2021;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;106781330
2021;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;763064660
2021;22102;120;;;Cotizaciones de los regímenes especiales de funcionarios;1741001830
2021;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;828678800
2021;98001;120;;00;Cuotas de Derechos Pasivos;828678800
2021;13102;120;;01;Cuotas de funcionarios a Mutualidades;26326620
2021;14113;120;;01;Cuotas de funcionarios a Mutualidades;102658290
2021;22102;120;;01;Cuotas de funcionarios a Mutualidades;339183060
2021;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;80424710
2021;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;660406370
2021;22102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1401818770
2021;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;8000
2021;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;12000
2021;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;10000
2021;60004;121;;;Cotizaciones del Regimen General;96591113370
2021;60004;122;;;Cotizaciones del R.E.T. Autonomos;10095330000
2021;60004;124;;;Cotizaciones R.E. Trabajadores del Mar;381000000
2021;60004;125;;;Cotizaciones R.E. Mineria del Carbon;77940000
2021;60004;127;;;Cotizaciones de acctes. trabajo y e. p.;8880480000
