EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2023;01;;Casa De Su Majestad El Rey
2023;01001;;Casa De Su Majestad El Rey
2023;02;;Cortes Generales
2023;02001;;Cortes Generales
2023;02002;;Congreso De Los Diputados
2023;02003;;Senado
2023;02004;;Junta Electoral Central
2023;02005;;Defensor Del Pueblo
2023;03;;Tribunal De Cuentas
2023;03001;;Tribunal, Fiscalía Y Servicios Generales
2023;04;;Tribunal Constitucional
2023;04001;;Tribunal Constitucional
2023;05;;Consejo De Estado
2023;05001;;Consejo De Estado
2023;06;;Deuda Pública
2023;06001;;Bonos, Obligaciones Y Otras Deudas
2023;06002;;Préstamos
2023;06003;;Letras Del Tesoro
2023;06004;;Deudas Asumidas
2023;06005;;Obligaciones Diversas
2023;07;;Clases Pasivas
2023;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2023;08;;Consejo General Del Poder Judicial
2023;08001;;Consejo General Del Poder Judicial
2023;09;;Aportaciones Al Mutualismo Administrativo
2023;09001;;Dirección General De Presupuestos
2023;10;;Contratación Centralizada
2023;10001;;Dirección General De Racionalización Y Centralización De La Contratación
2023;12;;Ministerio De Asuntos Exteriores, Unión Europea Y Cooperación
2023;12001;;Ministerio, Subsecretaría Y Servicios Generales
2023;12002;;Secretaría De Estado Para La Unión Europea
2023;12003;;Secretaría De Estado De Cooperación Internacional
2023;12004;;Secretaría De Estado De Asuntos Exteriores Y Globales
2023;12005;;Secretaría De Estado Para Iberoamerica Y El Caribe Y El Español En El Mundo
2023;12050;;Mecanismo De Recuperación Y Resiliencia
2023;12301;;Instituto Cervantes
2023;12302;;Agencia Española De Cooperación Internacional Para El Desarrollo
2023;13;;Ministerio De Justicia
2023;13001;;Ministerio, Subsecretaría Y Servicios Generales
2023;13002;;Secretaría De Estado De Justicia
2023;13003;;Dirección General De Seguridad Jurídica Y Fe Pública
2023;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2023;13005;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Fiscalía General
2023;13006;;Secretaría General Para La Innovación Y Calidad Del Servicio Público De Justicia. Ministerio Fiscal
2023;13050;;Mecanismo De Recuperación Y Resiliencia
2023;13101;;Centro De Estudios Jurídicos
2023;13102;;Mutualidad General Judicial
2023;13301;;Agencia Española De Protección De Datos
2023;14;;Ministerio De Defensa
2023;14001;;Ministerio Y Subsecretaría
2023;14002;;Cuartel General Del Emad
2023;14003;;Secretaría De Estado De Defensa
2023;14012;;Ejército De Tierra
2023;14017;;Armada
2023;14022;;Ejército Del Aire
2023;14050;;Mecanismo De Recuperación Y Resiliencia
2023;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2023;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2023;14113;;Instituto Social De Las Fuerzas Armadas
2023;14301;;Centro Nacional De Inteligencia
2023;15;;Ministerio De Hacienda Y Función Pública
2023;15001;;Ministerio, Subsecretaría Y Servicios Generales
2023;15002;;Secretaría General Técnica
2023;15004;;Dirección General Del Patrimonio Del Estado
