EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2010;19102;;Fondo De Garantía Salarial
2010;19104;;Instituto Nacional De Seguridad E Higiene En El Trabajo
2010;19301;;Consejo Económico Y Social
2010;20;;Ministerio De Industria, Turismo Y Comercio
2010;20001;;Ministerio, Subsecretaría Y Servicios Generales
2010;20002;;Secretaría General Técnica
2010;20003;;Secretaría De Estado De Comercio
2010;20004;;Secretaría De Estado De Turismo
2010;20005;;Secretaría General De Comercio Exterior
2010;20006;;Dirección General De Comercio E Inversiones
2010;20007;;Dirección General De Política Comercial
2010;20012;;Secr. De Est. De Telecomun. Y Para La Sociedad De La Información
2010;20013;;Dirección General De Telecomunicaciones
2010;20014;;Dir. Gral. Para El Desarrollo De La Sociedad De La Informac.
2010;20015;;Secretaría General De Industria
2010;20016;;Dirección General De Industria
2010;20017;;Dirección Gener. De Política De La Pequeña Y Mediana Empresa
2010;20018;;Secretaría De Estado De Energía
2010;20019;;Dirección General De Política Energética Y Minas
2010;20101;;Inst. Para La Reestruct. De La Minería Del Carbón Y D.a.c.m.
2010;20102;;Oficina Española De Patentes Y Marcas
2010;20207;;Centro Español De Metrología
2010;20208;;Instituto De Turismo De España
2010;20301;;Instituto Español De Comercio Exterior
2010;20302;;Consejo De Seguridad Nuclear
2010;21;;Ministerio De Ciencia E Innovación
2010;21001;;Ministerio, Subsecretaría Y Servicios Generales
2010;21002;;Secretaría General Técnica
2010;21003;;Secretaría De Estado De Investigación
2010;21004;;Dirección General De Investigación Y Gestión Del Plan Nacional I+D+I
2010;21005;;Dir. Gral. Cooperación Internacional Y Relaciones Institucionales
2010;21006;;Secretaría General De Innovación
2010;21007;;D. Gral. De Transferencia De Tecnología Y Desarrollo Empresarial
2010;21201;;Instituto De Astrofísica De Canarias
2010;21203;;Centro De Invest. Energéticas, Medioambientales Y Tecnológicas
2010;21204;;Instituto Nacional De Investig. Y Tecnología Agraria Y Alimentaria
2010;21205;;Instituto Español De Oceanografía
2010;21206;;Instituto Geológico Y Minero De España
2010;21207;;Instituto De Salud Carlos Iii
2010;21401;;Consejo Superior De Investigaciones Científicas
2010;22;;Ministerio De Política Territorial
2010;22001;;Ministerio, Subsecretaría Y Servicios Generales
2010;22003;;Secretaría De Estado De Cooperación Territorial
2010;23;;Ministerio De Medio Ambiente, Y Medio Rural Y Marino
2010;23001;;Ministerio, Subsecretaría Y Servicios Generales
2010;23002;;Secretaría General Técnica
2010;23004;;Secretaría De Estado De Medio Rural Y Agua
2010;23005;;Dirección General Del Agua
2010;23006;;Dirección General De Sostenibilidad De La Costa Y El Mar
2010;23007;;Secretaría De Estado De Cambio Climático
2010;23008;;Dirección General De Calidad Y Evaluación Ambiental
2010;23009;;Dirección General De Medio Natural Y Política Forestal
2010;23010;;Oficina Española Del Cambio Climático
2010;23011;;Secretaría General De Medio Rural
2010;23012;;Dirección General De Recursos Agrícolas Y Ganaderos
2010;23013;;Dirección General De Servicios
2010;23014;;Dirección General De Industria Y Mercados Alimentarios
2010;23015;;Secretaría General Del Mar
2010;23016;;Dirección General De Ordenación Pesquera
2010;23017;;Dirección General De Recursos Pesqueros Y Acuicultura
2010;23018;;Dirección General De Desarrollo Sostenible Del Medio Rural
2010;23101;;Parques Nacionales
2010;23112;;Agencia Para El Aceite De Oliva
2010;23207;;Entidad Estatal De Seguros Agrarios
2010;23208;;Fondo Reg. Y Org. Del Mercado De Prod. De Pesca Y Cult. Mar.
2010;23211;;Fondo Español De Garantía Agraria
2010;23225;;Confederación Hidrográfica Del Duero
2010;23226;;Confederación Hidrográfica Del Ebro
2010;23228;;Confederación Hidrográfica Del Guadalquivir
2010;23229;;Confederación Hidrográfica Del Guadiana
2010;23230;;Confederación Hidrográfica Del Júcar
2010;23231;;Confederación Hidrográfica Del Miño-Sil
2010;23232;;Confederación Hidrográfica Del Segura
2010;23233;;Confederación Hidrográfica Del Cantábrico
2010;23234;;Confederación Hidrográfica Del Tajo
2010;23236;;Mancomunidad De Los Canales Del Taibilla
2010;23237;;Parque De Maquinaria
2010;23401;;Agencia Estatal De Meteorología
2010;24;;Ministerio De Cultura
2010;24001;;Ministerio, Subsecretaría Y Servicios Generales
2010;24002;;Secretaría General Técnica
2010;24003;;Dirección General De Bellas Artes Y Bienes Culturales
2010;24004;;Dirección General Del Libro, Archivos Y Bibliotecas
2010;24006;;Dirección General De Políticas E Industrias Culturales
2010;24101;;Instituto De La Cinematografía Y De Las Artes Audiovisuales
2010;24102;;Biblioteca Nacional
2010;24103;;Gerencia De Infraestructuras Y Equipamientos De Cultura
2010;24104;;Museo Nacional Centro De Arte Reina Sofía
2010;24201;;Instituto Nacional De Las Artes Escénicas Y De La Música
2010;24301;;Museo Del Prado
2010;25;;Ministerio De La Presidencia
2010;25001;;Presidente Del Gobierno
2010;25002;;Ministerio Y Servicios Generales
2010;25003;;Portavoz Del Gobierno
2010;25004;;Secretaría De Estado Para La Función Pública
2010;25005;;D. G. De Coordinación Y Administración De Los Servicios Periféricos
2010;25101;;Centro De Estudios Políticos Y Constitucionales
2010;25102;;Centro De Investigaciones Sociológicas
2010;25103;;Consejo De Administración Del Patrimonio Nacional
2010;25104;;Instituto Nacional De Administración Pública
2010;25105;;Mutualidad General De Funcionarios Civiles Del Estado
2010;25106;;Consejo Superior De Deportes
2010;25401;;Agencia Estatal Boletín Oficial Del Estado
2010;25402;;A. E. De Evaluación De Políticas Públicas Y Calidad De Los Servicios
2010;25403;;Agencia Estatal Antidopaje
2010;26;;Ministerio De Sanidad Y Política Social
2010;26001;;Ministerio Y Subsecretaría
2010;26002;;Secretaría General Técnica
2010;26003;;D. G. Recursos Humanos Y Servicios Económico Presupuestarios
2010;26004;;Secretaría General De Sanidad
2010;26005;;Dirección General De Terapias Avanzadas Y Trasplantes
2010;26007;;Dirección General De Salud Pública Y Sanidad Exterior
2010;26009;;Dirección General De Farmacia Y Productos Sanitarios
2010;26012;;D.g.ordenac. Profes., Cohesión Del Sist.nac. De Salud Y Alta Inspec.
2010;26013;;Agencia De Calidad Del Sistema Nacional De Salud
2010;26015;;Secretaría General De Politica Social Y Consumo
2010;26016;;Dirección General De Política Social, De Las Familias Y De La Infancia
2010;26017;;D.g. De Coordinación De Políticas Sectoriales Sobre Discapacidad
2010;26018;;Delegación Del Gobierno Para El Plan Nacional Sobre Drogas
2010;26019;;Dirección General De Consumo
2010;26102;;Instituto Nacional Del Consumo
2010;26103;;Agencia Española De Medicamentos Y Productos Sanitarios
2010;26104;;Agencia Española De Seguridad Alimentaria Y Nutrición
2010;26105;;Organización Nacional De Trasplantes
2010;26106;;Real Patronato Sobre Discapacidad
2010;27;;Ministerio De Vivienda
2010;27001;;Ministerio, Subsecretaría Y Servicios Generales
2010;27009;;Dirección General De Arquitectura Y Política De Vivienda
2010;27010;;Dirección General De Suelo Y Políticas Urbanas
2010;28;;Ministerio De Igualdad
2010;28001;;Ministerio, Subsecretaría Y Servicios Generales
2010;28003;;Secretaría General De Políticas De Igualdad
2010;28004;;Delegación Del Gobierno Para La Violencia De Género
2010;28101;;Instituto De La Mujer
2010;28102;;Consejo De La Juventud De España
2010;28201;;Instituto De La Juventud
2010;31;;Gastos De Diversos Ministerios
2010;31002;;D.g. Presupuestos. Gastos De Los Departamentos Ministeriales
2010;31003;;Dirección General Del Patrimonio Del Estado
2010;31004;;Subsecretaría De Hacienda
2010;32;;Entes Territoriales
2010;32001;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. País Vasco
2010;32002;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Cataluña
2010;32003;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Galicia
2010;32004;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Andalucia
2010;32005;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  P. De Asturias
2010;32006;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Cantabria
2010;32007;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  La Rioja
2010;32008;;D.g. De Coordinación Financiera Con Cc.aa. Y Ee.ll. Región De Murcia
2010;32009;;D.g. De Coordinación Financiera Con Cc.aa. Y Ee.ll. C. Valenciana
2010;32010;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Aragón
2010;32011;;D. G. De Coordin. Financiera Con Cc. Aa. Y Ee. Ll. Castilla-La Mancha
2010;32012;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Canarias
2010;32014;;D.g. De Coordinación Financiera Con Cc. Aa. Y  Ee. Ll.  Extremadura
2010;32015;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Illes Balears
2010;32016;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Madrid
2010;32017;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Castilla Y León
2010;32018;;D.g. De Coordinación Financiera Con Cc. Aa. Y  Ee. Ll.  Varias Cc. Aa.
2010;32019;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll.  Melilla
2010;32020;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Ceuta
2010;32023;;D. G. De Coordin. Financiera Con Cc. Aa. Y Ee. Ll. Entidades Locales
2010;33;;Fondos De Compensación Interterritorial
2010;33003;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Galicia
2010;33004;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Andalucía
2010;33005;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. P. De Asturias
2010;33006;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Cantabria
2010;33008;;D.g. De Coordinación Financiera Con Cc.aa. Y Ee.ll. Región De Murcia
2010;33009;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. C. Valenciana
2010;33011;;D. G. De Coordin. Financiera Con Cc. Aa. Y Ee. Ll. Castilla-La Mancha
2010;33012;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Canarias
2010;33014;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Extremadura
2010;33017;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Castilla Y León
2010;33019;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Melilla
2010;33020;;D.g. De Coordinación Financiera Con Cc. Aa. Y Ee. Ll. Ceuta
2010;34;;Relaciones Financieras Con La Unión Europea
2010;34001;;D. G. Fondos Comunitarios. Relaciones Financieras Con La U. E.
2010;35;;Fondo De Contingencia
2010;35001;;Dirección General De Presupuestos. Fondo De Contingencia
2010;60;;Seguridad Social
2010;60001;;Entidades Gestoras
2010;98;;Ingresos Del Estado
2010;98001;;Ingresos Del Estado
