EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2019;01;;Casa De Su Majestad El Rey
2019;01001;;Casa De Su Majestad El Rey
2019;02;;Cortes Generales
2019;02001;;Cortes Generales
2019;02002;;Congreso De Los Diputados
2019;02003;;Senado
2019;02004;;Junta Electoral Central
2019;02005;;Defensor Del Pueblo
2019;03;;Tribunal De Cuentas
2019;03001;;Tribunal, Fiscalía Y Servicios Generales
2019;04;;Tribunal Constitucional
2019;04001;;Tribunal Constitucional
2019;05;;Consejo De Estado
2019;05001;;Consejo De Estado
2019;06;;Deuda Pública
2019;06001;;Bonos, Obligaciones Y Otras Deudas
2019;06002;;Préstamos
2019;06003;;Letras Del Tesoro
2019;06004;;Deudas Asumidas
2019;06005;;Obligaciones Diversas
2019;07;;Clases Pasivas
2019;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2019;08;;Consejo General Del Poder Judicial
2019;08001;;Consejo General Del Poder Judicial
2019;09;;Aportaciones Al Mutualismo Administrativo
2019;09001;;Dirección General De Presupuestos
2019;10;;Contratación Centralizada
2019;10001;;Dirección General De Racionalización Y Centralización De La Contratación
2019;12;;Ministerio De Asuntos Exteriores, Unión Europea Y Cooperación
2019;12001;;Ministerio, Subsecretaría Y Servicios Generales
2019;12002;;Secretaría De Estado Para La Unión Europea
2019;12003;;Secretaría De Estado De Cooperación Internacional Y Para Iberoamérica Y El Caribe
2019;12004;;Secretaría De Estado De Asuntos Exteriores
2019;12005;;Secretaría De Estado De La España Global
2019;12301;;Instituto Cervantes
2019;12302;;Agencia Española De Cooperación Internacional Para El Desarrollo
2019;13;;Ministerio De Justicia
2019;13001;;Ministerio, Subsecretaría Y Servicios Generales
2019;13002;;Secretaría De Estado De Justicia
2019;13003;;Dirección General De Los Registros Y Del Notariado
2019;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2019;13005;;Secretaría General De La Administración De Justicia. Fiscalía General Del Estado
2019;13006;;Secretaría General De La Administración De Justicia-Ministerio Fiscal
2019;13101;;Centro De Estudios Jurídicos
2019;13102;;Mutualidad General Judicial
2019;13301;;Agencia Española De Protección De Datos
2019;14;;Ministerio De Defensa
2019;14001;;Ministerio Y Subsecretaría
2019;14002;;Cuartel General Del Emad
2019;14003;;Secretaría De Estado De Defensa
2019;14012;;Ejército De Tierra
2019;14017;;Armada
2019;14022;;Ejército Del Aire
2019;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2019;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2019;14113;;Instituto Social De Las Fuerzas Armadas
2019;14301;;Centro Nacional De Inteligencia
2019;15;;Ministerio De Hacienda
2019;15001;;Ministerio, Subsecretaría Y Servicios Generales
2019;15002;;Secretaría General Técnica
2019;15004;;Dirección General Del Patrimonio Del Estado
2019;15005;;Secretaría De Estado De Hacienda
2019;15006;;Dirección General De Racionalización Y Centralización De La Contratación
2019;15007;;Dirección General De Tributos
2019;15008;;Dirección General Del Catastro
2019;15009;;Tribunal Económico-Administrativo Central
2019;15010;;Dirección General De Ordenación Del Juego
2019;15011;;Intervención General De La Administración Del Estado
2019;15012;;Secretaría De Estado De Presupuestos Y Gastos
2019;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2019;15014;;Dirección General De Fondos Europeos
2019;15015;;Dirección General De Presupuestos
2019;15022;;Secretaría General De Financiación Autonómica Y Local
2019;15101;;Instituto De Estudios Fiscales
2019;15104;;Comisionado Para El Mercado De Tabacos
2019;15107;;Parque Móvil Del Estado
2019;15301;;Autoridad Independiente De Responsabilidad Fiscal
2019;15302;;Agencia Estatal De Administración Tributaria
2019;16;;Ministerio Del Interior
2019;16001;;Ministerio, Subsecretaría Y Servicios Generales
2019;16002;;Secretaría De Estado De Seguridad
2019;16003;;Dirección General De La Policía
2019;16004;;Dirección General De La Guardia Civil
2019;16005;;Secretaría General De Instituciones Penitenciarias
2019;16101;;Jefatura Central De Tráfico
2019;16102;;Gerencia De Infraestructuras Y Equipamiento De La Seguridad Del Estado
2019;17;;Ministerio De Fomento
2019;17001;;Ministerio, Subsecretaría Y Servicios Generales
2019;17002;;Dirección General De Programación Económica Y Presupuestos
2019;17003;;Secretaría General Técnica
2019;17009;;Dirección General De Arquitectura, Vivienda Y Suelo
2019;17018;;Dirección General Del Instituto Geográfico Nacional
2019;17020;;Secretaría De Estado De Infraestructuras, Transporte Y Vivienda
2019;17032;;Dirección General De Marina Mercante
2019;17034;;Dirección General De Aviación Civil
2019;17038;;Dirección General De Carreteras
2019;17039;;Dirección General De Transporte Terrestre
2019;17101;;Centro De Estudios Y Experimentación De Obras Públicas
2019;17102;;Centro Nacional De Información Geográfica
2019;17301;;Agencia Estatal De Seguridad Aérea
2019;17302;;Agencia Estatal De Seguridad Ferroviaria
2019;18;;Ministerio De Educación Y Formación Profesional
2019;18001;;Ministerio, Subsecretaría Y Servicios Generales
2019;18002;;Secretaría General Técnica
2019;18003;;Secretaría De Estado De Educación Y Formación Profesional
2019;18004;;Dirección General De Evaluación Y Cooperación Territorial
2019;18005;;Dirección General De Formación Profesional
2019;18008;;Dirección General De Planificación Y Gestión Educativa
2019;19;;Ministerio De Trabajo, Migraciones Y Seguridad Social
2019;19001;;Ministerio Y Subsecretaría
2019;19002;;Secretaría De Estado De La Seguridad Social
2019;19003;;Secretaría De Estado De Empleo
2019;19007;;Secretaría De Estado De Migraciones
2019;19101;;Servicio Público De Empleo Estatal
