EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2019;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;99155100
2019;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;753341660
2019;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;23883041210
2019;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;528800000
2019;22102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1673655380
2019;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;123583710000
2019;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;73091888960
2019;98001;10;;;Sobre la renta;70963000000
2019;98001;100;;;De las personas físicas;40510000000
2019;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;40778000000
2019;98001;100;;99;Asignación tributaria a la Iglesia Católica y otros fines sociales;-268000000
2019;98001;101;;;De sociedades;27579000000
2019;98001;101;;00;Impuesto sobre Sociedades;27579000000
2019;98001;102;;;De no residentes;2874000000
2019;98001;102;;00;Impuesto sobre la Renta de no Residentes;2874000000
2019;98001;11;;;Sobre el capital;220000000
2019;98001;119;;;Otros impuestos sobre el capital;220000000
2019;98001;119;;00;Impuesto sobre Sucesiones y Donaciones;156500000
2019;98001;119;;01;Impuesto sobre el Patrimonio;63500000
2019;13102;12;;;Cotizaciones sociales;99155100
2019;14113;12;;;Cotizaciones sociales;753341660
2019;19101;12;;;Cotizaciones sociales;23883041210
2019;19102;12;;;Cotizaciones sociales;528800000
2019;22102;12;;;Cotizaciones sociales;1673655380
2019;60004;12;;;Cotizaciones sociales;123583710000
2019;98001;12;;;Cotizaciones sociales;908488960
2019;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;99155100
2019;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;753341660
2019;22102;120;;;Cotizaciones de los regímenes especiales de funcionarios;1673655380
2019;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;908488960
2019;98001;120;;00;Cuotas de Derechos Pasivos;908488960
2019;13102;120;;01;Cuotas de funcionarios a Mutualidades;25098320
2019;14113;120;;01;Cuotas de funcionarios a Mutualidades;103788290
2019;22102;120;;01;Cuotas de funcionarios a Mutualidades;342336650
2019;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;74026780
2019;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;649553370
2019;22102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1331318730
2019;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;8000
2019;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;12500
