EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2013;G;1;;;;;GASTOS DE PERSONAL
2013;G;1;10;;;;Altos cargos
2013;G;1;10;100/03001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/04001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/05001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/08001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12002;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12003;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12004;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12301;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/12401;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13002;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13003;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13004;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13005;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13006;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/13301;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/14001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/14012;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/14017;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/14022;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/14205;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15001;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15002;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15003;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15004;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15005;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15007;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15008;;;Retribuciones básicas y otras remuneraciones
2013;G;1;10;100/15009;;;Retribuciones básicas y otras remuneraciones
