EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;DESCRIPCION;ITEM;IMPORTE
2013;98001;7;;;TRANSFERENCIAS DE CAPITAL;526695370
2013;98001;71;;;De organismos autónomos;2000000
2013;98001;711;;;"Del FEGA ""Ayudas de Desarrollo Rural""";2000000
2013;98001;75;;;De Comunidades Autónomas;2000000
2013;98001;750;;;De Comunidades Autónomas;2000000
2013;98001;79;;;Del exterior;522695370
2013;98001;790;;;Fondo Europeo de Desarrollo Regional;474273140
2013;98001;791;;;Fondo de Cohesión;25422230
2013;98001;792;;;Fondo Europeo Pesca y otros recursos agrícolas y pesqueros;23000000
2013;98001;8;;;ACTIVOS FINANCIEROS;1519810000
2013;98001;82;;;Reintegros de préstamos concedidos al Sector Público;530230000
2013;98001;821;;;Reintegros de préstamos concedidos al Sector Público a largo plazo;530230000
2013;98001;821;;04;A las  sociedades mercantiles estatales, entidades empresariales y otros organismos públicos;530230000
2013;98001;83;;;Reintegros de préstamos concedidos fuera del Sector Público;989580000
2013;98001;831;;;Reintegros de préstamos concedidos fuera del Sector Público a largo plazo;989580000
2013;98001;831;;07;A las empresas privadas;949580000
2013;98001;831;;08;A familias e Instituciones sin fines de lucro;40000000
