EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2015;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;94083800
2015;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;703526980
2015;15106;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1529395810
2015;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;19242582040
2015;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;470000000
2015;60004;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;109833300690
2015;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;68398032750
2015;98001;10;;;Sobre la renta;65322000000
2015;98001;100;;;De las personas físicas;40215000000
2015;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;40464000000
2015;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-249000000
2015;98001;101;;;De sociedades;23577000000
2015;98001;101;;00;Impuesto sobre Sociedades;23577000000
2015;98001;102;;;De no residentes;1530000000
2015;98001;102;;00;Impuesto sobre la Renta de no Residentes;1530000000
2015;98001;11;;;Sobre el capital;164000000
2015;98001;119;;;Otros impuestos sobre el capital;164000000
2015;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;133000000
2015;98001;119;;01;Impuesto sobre el Patrimonio;31000000
2015;13102;12;;;Cotizaciones sociales;94083800
2015;14113;12;;;Cotizaciones sociales;703526980
2015;15106;12;;;Cotizaciones sociales;1529395810
2015;19101;12;;;Cotizaciones sociales;19242582040
2015;19102;12;;;Cotizaciones sociales;470000000
2015;60004;12;;;Cotizaciones sociales;109833300690
2015;98001;12;;;Cotizaciones sociales;954032750
2015;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;94083800
2015;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;703526980
2015;15106;120;;;Cotizaciones de los regímenes especiales de funcionarios;1529395810
2015;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;954032750
2015;98001;120;;00;Cuotas de Derechos Pasivos;954032750
2015;13102;120;;01;Cuotas de funcionarios a Mutualidades;22352600
2015;14113;120;;01;Cuotas de funcionarios a Mutualidades;103193750
2015;15106;120;;01;Cuotas de funcionarios a Mutualidades;327992750
2015;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;71683200
2015;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;600333230
2015;15106;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1201403060
2015;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;15000
2015;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;16500
2015;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;16500
2015;60004;121;;;Cotizaciones del Regimen General;82507230000
2015;60004;122;;;Cotizaciones del R.E.T. Autonomos;11802630000
2015;60004;124;;;Cotizaciones R.E. Trabajadores del Mar;306410000
2015;60004;125;;;Cotizaciones R.E. Mineria del Carbon;158370000
2015;60004;127;;;Cotizaciones de acctes. trabajo y e. p.;7094160000
2015;60004;128;;;Cotizaciones de desempleados, cese de actividad de trabajadores autónomos y bonificaciones para el fomento del empleo;7805420690
2015;19101;129;;;Otras cotizaciones;19242582040
