EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2015;01;;Casa De Su Majestad El Rey
2015;01001;;Casa De Su Majestad El Rey
2015;02;;Cortes Generales
2015;02001;;Cortes Generales
2015;02002;;Congreso De Los Diputados
2015;02003;;Senado
2015;02004;;Junta Electoral Central
2015;02005;;Defensor Del Pueblo
2015;03;;Tribunal De Cuentas
2015;03001;;Tribunal, Fiscalía Y Servicios Generales
2015;04;;Tribunal Constitucional
2015;04001;;Tribunal Constitucional
2015;05;;Consejo De Estado
2015;05001;;Consejo De Estado
2015;06;;Deuda Pública
2015;06001;;Bonos, Obligaciones Y Otras Deudas
2015;06002;;Préstamos
2015;06003;;Letras Del Tesoro
2015;06004;;Deudas Asumidas
2015;06005;;Obligaciones Diversas
2015;07;;Clases Pasivas
2015;07001;;Pensiones Y Otras Prestaciones De Clases Pasivas
2015;08;;Consejo General Del Poder Judicial
2015;08001;;Consejo General Del Poder Judicial
2015;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2015;12001;;Ministerio, Subsecretaría Y Servicios Generales
2015;12002;;Secretaría De Estado Para La Unión Europea
2015;12003;;Secretaría De Estado De Cooperación Internacional Y Para Iberoamérica
2015;12004;;Secretaría De Estado De Asuntos Exteriores
2015;12301;;Instituto Cervantes
2015;12401;;Agencia Española De Cooperación Internacional Para El Desarrollo
2015;13;;Ministerio De Justicia
2015;13001;;Ministerio, Subsecretaría Y Servicios Generales
2015;13002;;Secretaría General De La Administración De Justicia
2015;13003;;Dirección General De Los Registros Y Del Notariado
2015;13004;;Abogacía General Del Estado-Dirección Del Servicio Juridico Del Estado
2015;13005;;Secretaría General De La Administración De Justicia. Fiscalía General Del Estado
2015;13006;;Secretaría General De La Administración De Justicia-Ministerio Fiscal
2015;13101;;Centro De Estudios Jurídicos
2015;13102;;Mutualidad General Judicial
2015;13301;;Agencia Española De Protección De Datos
2015;14;;Ministerio De Defensa
2015;14001;;Ministerio Y Subsecretaría
2015;14002;;Cuartel General Del Emad
2015;14003;;Secretaría De Estado De La Defensa
2015;14012;;Ejército De Tierra
2015;14017;;Armada
2015;14022;;Ejército Del Aire
2015;14101;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2015;14107;;Instituto De Vivienda, Infraestructura Y Equipamiento De La Defensa
2015;14113;;Instituto Social De Las Fuerzas Armadas
2015;15;;Ministerio De Hacienda Y Administraciones Públicas
2015;15001;;Ministerio, Subsecretaría Y Servicios Generales
2015;15002;;Secretaría General Técnica
2015;15004;;Dirección General Del Patrimonio Del Estado
2015;15005;;Secretaría De Estado De Hacienda
2015;15006;;Dirección General De Racionalización Y Centralización De La Contratación
2015;15007;;Dirección General De Tributos
2015;15008;;Dirección General Del Catastro
2015;15009;;Tribunal Económico-Administrativo Central
2015;15010;;Dirección General De Ordenación Del Juego
2015;15011;;Intervención General De La Administración Del Estado
2015;15012;;Secretaría De Estado De Presupuestos Y Gastos
2015;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2015;15014;;Dirección General De Fondos Comunitarios
2015;15015;;Dirección General De Presupuestos
2015;15022;;Secretaría General De Coordinación Autonómica Y Local
2015;15026;;Secretaría De Estado De Administraciones Públicas
2015;15027;;Dirección General De Coordinación De Competencias Con Las Comunidades Autónomas Y Las Entidades Locales
2015;15028;;Dirección General De Coordinación De La Administración Periférica Del Estado
2015;15029;;Dirección De Tecnologías De La Información Y Las Comunicaciones
2015;15101;;Instituto De Estudios Fiscales
2015;15102;;Instituto Nacional De Administración Pública
2015;15104;;Comisionado Para El Mercado De Tabacos
2015;15106;;Mutualidad General De Funcionarios Civiles Del Estado
2015;15107;;Parque Móvil Del Estado
2015;15301;;Autoridad Independiente De Responsabilidad Fiscal
2015;15302;;Agencia Estatal De Administración Tributaria
2015;15304;;Consejo De Transparencia Y Buen Gobierno
2015;15401;;Agencia Estatal De Evaluación De Políticas Públicas Y Calidad De Los Servicios
2015;16;;Ministerio Del Interior
2015;16001;;Ministerio, Subsecretaría Y Servicios Generales
2015;16002;;Secretaría De Estado De Seguridad
2015;16003;;Dirección General De La Policía
2015;16004;;Dirección General De La Guardia Civil
2015;16005;;Secretaría General De Instituciones Penitenciarias
2015;16101;;Jefatura De Tráfico
2015;16102;;Gerencia De Infraestructuras Y Equipamiento De La Seguridad Del Estado
2015;17;;Ministerio De Fomento
2015;17001;;Ministerio, Subsecretaría Y Servicios Generales
2015;17002;;Dirección General De Programación Económica Y Presupuestos
2015;17003;;Secretaría General Técnica
2015;17009;;Dirección General De Arquitectura, Vivienda Y Suelo
2015;17018;;Dirección General Del Instituto Geográfico Nacional
2015;17020;;Secretaría De Estado De Infraestructuras, Transporte Y Vivienda
2015;17032;;Dirección General De Marina Mercante
2015;17034;;Dirección General De Aviación Civil
2015;17038;;Dirección General De Carreteras
2015;17039;;Dirección General De Transporte Terrestre
2015;17040;;Dirección General De Ferrocarriles
2015;17101;;Centro De Estudios Y Experimentación De Obras Públicas
2015;17102;;Centro Nacional De Investigación Geográfica
2015;17401;;Agencia Estatal De Seguridad Aérea
2015;18;;Ministerio De Educación, Cultura Y Deporte
2015;18001;;Ministerio, Subsecretaría Y Servicios Generales
2015;18002;;Secretaría General Tecnica
2015;18003;;Secretaría De Estado De Educación, Formación Profesional Y Universidades
2015;18004;;Dirección General De Evaluación Y Cooperación Territorial
2015;18005;;Dirección General De Formación Profesional
2015;18006;;Secretaría General De Universidades
2015;18007;;Dirección General De Política Universitaria
2015;18009;;Secretaría De Estado De Cultura
2015;18011;;Dirección General De Bellas Artes Y Bienes Culturales Y De Archivos Y Bibliotecas
2015;18013;;Dirección General De Políticas E Industrias Culturales Y Del Libro
2015;18101;;Universidad Internacional Menéndez Pelayo
2015;18102;;Servicio Español Para La Internacionalización De La Educación
2015;18103;;Instituto De La Cinematografía Y De Las Artes Audiovisuales
2015;18104;;Biblioteca Nacional
2015;18105;;Gerencia De Infraestructuras Y Equipamientos
2015;18106;;Consejo Superior De Deportes
2015;18107;;Instituto Nacional De Las Artes Escénicas Y De La Música
2015;18301;;Museo Nacional Del Prado
2015;18302;;Museo Nacional Centro De Arte Reina Sofía
2015;18401;;Agencia Española De Protección De La Salud En El Deporte
2015;19;;Ministerio De Empleo Y Seguridad Social
2015;19001;;Ministerio Y Subsecretaría
2015;19002;;Secretaría De Estado De La Seguridad Social
2015;19003;;Secretaría De Estado De Empleo
2015;19007;;Secretaría General De Inmigración Y Emigración
2015;19101;;Servicio Público De Empleo Estatal
2015;19102;;Fondo De Garantía Salarial
2015;19104;;Instituto Nacional De Seguridad E Higiene En El Trabajo
2015;19301;;Consejo Económico Y Social
2015;20;;Ministerio De Industria, Energía Y Turismo
2015;20001;;Ministerio, Subsecretaría Y Servicios Generales
2015;20002;;Secretaría General Técnica
2015;20004;;Secretaría De Estado De Turismo
