EJERCICIO;GRUPO;FUNCION;SUBFUNCION;PROGRAMA;DESCRIPCION CORTA;DESCRIPCION LARGA
2023;0;;;;;Transferencias internas
2023;0;00;;;;Transferencias internas
2023;0;00;000;000X;;Transferencias y libramientos internos
2023;1;;;;;Servicios públicos básicos
2023;1;11;;;;Justicia
2023;1;11;111;111M;;Gobierno del Poder Judicial
2023;1;11;111;111N;;Dirección y Servicios Generales de Justicia
2023;1;11;111;111O;;Selección y formación de jueces
2023;1;11;111;111P;;Documentación y publicaciones judiciales
2023;1;11;111;111Q;;Formación del Personal de la Administración de Justicia
2023;1;11;111;111R;;Formación de la Carrera Fiscal
2023;1;11;112;112A;;Tribunales de Justicia y Ministerio Fiscal
2023;1;11;113;113M;;Registros vinculados con la Fe Pública
2023;1;11;11K;11KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Justicia
2023;1;12;;;;Defensa
2023;1;12;121;121M;;Administración y Servicios Generales de Defensa
2023;1;12;121;121N;;Formación del Personal de las Fuerzas Armadas
2023;1;12;121;121O;;Personal en reserva
2023;1;12;122;122A;;Modernización de las Fuerzas Armadas
2023;1;12;122;122B;;Programas especiales de modernización
2023;1;12;122;122M;;Gastos Operativos de las Fuerzas Armadas
2023;1;12;122;122N;;Apoyo Logístico
2023;1;12;12S;12SC;;C19.I03 Competencias digitales para el empleo. Defensa
2023;1;13;;;;Seguridad ciudadana e instituciones penitenciarias
2023;1;13;131;131M;;Dirección y Servicios Generales de Seguridad y Protección Civil
2023;1;13;131;131N;;Formación de Fuerzas y Cuerpos de Seguridad del Estado
2023;1;13;131;131O;;Fuerzas y Cuerpos en reserva
2023;1;13;131;131P;;Derecho de asilo y apátridas
2023;1;13;132;132A;;Seguridad ciudadana
2023;1;13;132;132B;;Seguridad vial
2023;1;13;132;132C;;Actuaciones policiales en materia de droga
2023;1;13;133;133A;;Centros e Instituciones Penitenciarias
2023;1;13;134;134M;;Protección Civil
2023;1;13;135;135M;;Protección de datos de carácter personal
2023;1;13;13K;13KB;;C11.I02 Proyectos tractores de digitalización de la Administración General del Estado. Seguridad Ciudadana e Instituciones Penitenciarias
2023;1;13;13S;13SC;;C19.I03 Competencias digitales para el empleo. Seguridad Ciudadana e Instituciones Penitenciarias
2023;1;14;;;;Política exterior
