EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2007;01;;Casa De Su Majestad El Rey
2007;01001;;Casa De Su Majestad El Rey
2007;02;;Cortes Generales
2007;02001;;Cortes Generales
2007;02002;;Congreso De Los Diputados
2007;02003;;Senado
2007;02004;;Junta Electoral Central
2007;02005;;Defensor Del Pueblo
2007;03;;Tribunal De Cuentas
2007;03001;;Tribunal, Fiscalía Y Servicios Generales
2007;04;;Tribunal Constitucional
2007;04001;;Tribunal Constitucional
2007;05;;Consejo De Estado
2007;05001;;Consejo De Estado
2007;06;;Deuda Pública
2007;06001;;Bonos, Obligaciones Y Otras Deudas
2007;06002;;Préstamos
2007;06003;;Letras Del Tesoro
2007;06004;;Deudas Asumidas
2007;06005;;Obligaciones Diversas
2007;07;;Clases Pasivas
2007;07001;;Haberes Pasivos De Carácter Civil Y Militar
2007;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2007;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2007;08;;Consejo General Del Poder Judicial
2007;08001;;Consejo General Del Poder Judicial
2007;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2007;12001;;Ministerio, Subsecretaría Y Servicios Generales
2007;12002;;Secretaría De Estado Para La Unión Europea
2007;12003;;Secretaría De Estado De Cooperación Internacional
2007;12004;;Secretaría De Estado De Asuntos Exteriores
2007;12005;;Secretaría De Estado Para Iberoamérica
2007;12103;;Agencia Española De La Cooperación Internacional
2007;12301;;Instituto Cervantes
2007;13;;Ministerio De Justicia
2007;13001;;Ministerio, Subsecretaría Y Servicios Generales
2007;13002;;Dir. General De Relaciones Con La Administración De Justicia
2007;13003;;Dirección General De Los Registros Y Del Notariado
2007;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2007;13101;;Centro De Estudios Jurídicos
2007;13102;;Mutualidad General Judicial
2007;13301;;Agencia Española De Protección De Datos
2007;14;;Ministerio De Defensa
2007;14001;;Ministerio Y Subsecretaría
2007;14002;;Cuartel General Del Emad
2007;14003;;Secretaría De Estado De La Defensa
2007;14012;;Ejército De Tierra
2007;14017;;Armada
2007;14022;;Ejército Del Aire
2007;14104;;Fondo De Explotación De Servicios De Cría Caballar Y Remonta
2007;14107;;Gerencia De Infraestructura Y Equipamiento De La Defensa
2007;14111;;Canal De Experiencias Hidrodinámicas De El Pardo
2007;14113;;Instituto Social De Las Fuerzas Armadas
2007;14204;;Servicio Militar De Construcciones
2007;14205;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2007;14206;;Instituto Para La Vivienda De Las Fuerzas Armadas
2007;14301;;Centro Nacional De Inteligencia
2007;15;;Ministerio De Economía Y Hacienda
2007;15001;;Ministerio, Subsecretaría Y Servicios Generales
2007;15002;;Secretaría General Técnica
2007;15003;;Inspección General Del Ministerio De Economía Y Hacienda
2007;15004;;Dirección General Del Patrimonio Del Estado
2007;15005;;Secretaría De Estado De Hacienda Y Presupuestos
2007;15006;;Secretaría General De Hacienda
2007;15007;;Dirección General De Tributos
2007;15008;;Dirección General Del Catastro
2007;15009;;Tribunal Económico-Administrativo Central
2007;15011;;Intervención General De La Administración Del Estado
2007;15012;;Secretaría General De Presupuestos Y Gastos
2007;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2007;15014;;Dirección General De Fondos Comunitarios
2007;15015;;Dirección General De Presupuestos
2007;15016;;Secretaría De Estado De Economía
2007;15017;;Dirección General De Política Económica
2007;15018;;Dirección General De Defensa De La Competencia
2007;15019;;Dirección General Del Tesoro Y Política Financiera
2007;15020;;Dirección General De Seguros Y Fondos De Pensiones
2007;15021;;Dirección General De Financiación Internacional
2007;15022;;Dirección General De Coordinación Financiera Con Las Cc.aa.
2007;15023;;Dirección General De Coordinación Financiera Con Las Ee.ll.
2007;15024;;Secret. Gral. De Política Económica Y Defensa De La Competencia
