EJERCICIO;GASTO/INGRESO;CAPITULO;ARTICULO;CONCEPTO;SUBCONCEPTO;DESCRIPCION CORTA;DESCRIPCION LARGA
2007;G;1;;;;;Gastos de personal
2007;G;1;10;;;;Altos cargos
2007;G;1;10;100;;;Retribuciones básicas y otras remuneraciones de altos cargos
2007;G;1;10;101/02001;;;Asignación Parlamentarios Europeos
2007;G;1;10;101/02002;;;Asignación Constitucional Señores Diputados
2007;G;1;10;101/02003;;;Asignación Constitucional Señores Senadores
2007;G;1;10;101/02005;;;Retribuciones básicas y otras remuneraciones de Altos Cargos
2007;G;1;10;107;;;Contribuciones a Planes de Pensiones
2007;G;1;11;;;;Personal eventual
2007;G;1;11;110;;;Retribuciones básicas y otras remuneraciones de personal eventual
2007;G;1;11;111;;;Personal eventual de las Cortes
2007;G;1;11;117;;;Contribuciones a Planes de Pensiones
2007;G;1;12;;;;Funcionarios
2007;G;1;12;120;;;Retribuciones básicas
2007;G;1;12;121;;;Retribuciones complementarias
2007;G;1;12;122;;;Retribuciones en especie
2007;G;1;12;123;;;Indemnizaciones percibidas por destino en el extranjero
2007;G;1;12;124;;;Retribuciones de funcionarios en prácticas
2007;G;1;12;125/02001;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2007;G;1;12;125/02002;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2007;G;1;12;125/02005;;;Retribuciones básicas y complementarias de Funcionarios de las Cortes
2007;G;1;12;125/13002;;;Para retribuir al personal sustituto de la Administración de Justicia
2007;G;1;12;126;;;Retribuciones básicas y complementarias del CNI
2007;G;1;12;127;;;Contribuciones a Planes de Pensiones
2007;G;1;12;129;;;Para la repercusión del complemento específico en la paga extraordinaria y otras mejoras retributivas contempladas en la presente Ley
2007;G;1;13;;;;Laborales
2007;G;1;13;130;;;Laboral fijo
2007;G;1;13;131;;;Laboral eventual
2007;G;1;13;133;;;Laboral en el extranjero
2007;G;1;13;135/02002;;;Retribuciones del personal laboral de las Cortes
2007;G;1;13;135/02003;;;Retribuciones del personal laboral de las Cortes
2007;G;1;13;135/02004;;;Retribuciones del personal laboral de la Junta Electoral Central
2007;G;1;13;137;;;Contribuciones a Planes de Pensiones
2007;G;1;14;;;;Otro personal
2007;G;1;14;143;;;Otro personal
2007;G;1;14;145;;;Otro Personal del Defensor del Pueblo
2007;G;1;14;147;;;Contribuciones a Planes de Pensiones
2007;G;1;15;;;;Incentivos al rendimiento
2007;G;1;15;150;;;Productividad
2007;G;1;15;151;;;Gratificaciones
2007;G;1;15;152;;;Otros incentivos al rendimiento
2007;G;1;15;153;;;Complemento de dedicación especial
2007;G;1;15;154/25103;;;Otras gratificaciones por Actos de Estado
2007;G;1;15;154/26105;;;Productividad personal estatutario factor fijo
2007;G;1;15;155/26105;;;Productividad personal estatutario factor variable.
2007;G;1;15;155/31002;;;Participación  del  personal en  los  programas  de  calidad regulados en el Real Decreto 951/2005, de 29 de Julio
2007;G;1;16;;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;160;;;Cuotas sociales
2007;G;1;16;161;;;Prestaciones sociales
2007;G;1;16;162;;;Gastos sociales del personal
2007;G;1;16;164;;;Complemento familiar
2007;G;1;16;165/02001;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;165/02002;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;165/02003;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;165/02004;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;165/02005;;;Cuotas, prestaciones y gastos sociales a cargo del empleador
2007;G;1;16;165/21211;;;Pensiones de jubilación especial por convenio colectivo.
2007;G;2;;;;;Gastos corrientes en bienes y servicios
2007;G;2;20;;;;Arrendamientos y cánones
2007;G;2;20;200;;;Arrendamientos terrenos y bienes naturales
2007;G;2;20;201;;;Arrendamientos de edificios y otras construcciones.Obligaciones de ejercicios anteriores
2007;G;2;20;202;;;Arrendamientos edificios y otras construcciones
2007;G;2;20;203;;;Arrendamientos maquinaria, instalaciones y utillaje
2007;G;2;20;204;;;Arrendamientos material de transporte
2007;G;2;20;205;;;Arrendamientos mobiliario y enseres
2007;G;2;20;206;;;Arrendamientos equipos para procesos de información
2007;G;2;20;207/02002;;;Alquileres
2007;G;2;20;207/02003;;;Alquileres
2007;G;2;20;207/02005;;;Alquileres
2007;G;2;20;207/17001;;;Obligaciones de ejercicios anteriores, por arrendamiento de edificios y otras construcciones.
2007;G;2;20;208;;;Arrendamientos otro inmovilizado material
2007;G;2;20;209;;;Cánones
2007;G;2;21;;;;Reparaciones, mantenimiento y conservación
2007;G;2;21;210;;;Infraestructura y bienes naturales
2007;G;2;21;212;;;Edificios y otras construcciones
2007;G;2;21;213;;;Maquinaria, instalaciones y utillaje
2007;G;2;21;214;;;Elementos de transporte
2007;G;2;21;215;;;Mobiliario y enseres
2007;G;2;21;216;;;Equipos para procesos de la información
2007;G;2;21;217/02002;;;Gastos diversos de reparación y conservación
2007;G;2;21;217/02003;;;Gastos diversos de reparación y conservación
2007;G;2;21;217/02005;;;Gastos diversos de reparación y conservación
2007;G;2;21;217/16002;;;Obligaciones de ejercicios anteriores
2007;G;2;21;217/16004;;;Obligaciones de ejercicios anteriores
2007;G;2;21;217/16005;;;Obligaciones de ejercicios anteriores
2007;G;2;21;218;;;Bienes situados en el exterior
2007;G;2;21;219;;;Otro inmovilizado material
2007;G;2;22;;;;Material, suministros y otros
2007;G;2;22;220;;;Material de oficina
2007;G;2;22;221;;;Suministros
2007;G;2;22;222;;;Comunicaciones
2007;G;2;22;223;;;Transportes
2007;G;2;22;224;;;Primas de seguros
2007;G;2;22;225;;;Tributos
2007;G;2;22;226;;;Gastos diversos
2007;G;2;22;227;;;Trabajos realizados por otras empresas y profesionales
2007;G;2;22;228;;;Gastos originados por participación de las Fuerzas Armadas en operaciones de mantenimiento de la paz
2007;G;2;22;229/14001;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/14002;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/14003;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/14012;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/14017;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/14022;;;Otros gastos de vida y funcionamiento
2007;G;2;22;229/16001;;;Obligaciones de ejercicios anteriores
2007;G;2;22;229/16003;;;Obligaciones de ejercicios anteriores
2007;G;2;22;229/16004;;;Obligaciones de ejercicios anteriores
2007;G;2;22;229/16005;;;Obligaciones de ejercicios anteriores
2007;G;2;22;229/18002;;;Gastos de funcionamiento de los Centros Docentes no Universitarios
2007;G;2;22;229/18009;;;Gastos de funcionamiento de los Centros Docentes no Universitarios
2007;G;2;22;229/18010;;;Gastos de funcionamiento de los Centros Docentes no Universitarios
2007;G;2;22;229/18011;;;Gastos de funcionamiento de los Centros Docentes no Universitarios
2007;G;2;22;229/23003;;;Incidencias de ejercicios anteriores.
2007;G;2;22;229/25003;;;Para los gastos de constitución y puesta en funcionamiento del nuevo Centro Internacional de Prensa
2007;G;2;23;;;;Indemnizaciones por razón del servicio
2007;G;2;23;230;;;Dietas
2007;G;2;23;231;;;Locomoción
2007;G;2;23;232;;;Traslado
2007;G;2;23;233;;;Otras indemnizaciones
2007;G;2;23;234;;;Dietas, locomoción y otras indemnizaciones
2007;G;2;23;239;;;Obligaciones de ejercicios anteriores
2007;G;2;24;;;;Gastos de publicaciones
2007;G;2;24;240;;;Gastos de edición y distribución
2007;G;2;25;;;;Conciertos de asistencia sanitaria
2007;G;2;25;250;;;Con la Seguridad Social
2007;G;2;25;251;;;Con entidades de seguro libre
2007;G;2;25;258;;;Obligaciones de ejercicios anteriores
2007;G;2;25;259;;;Otros conciertos de asistencia sanitaria
2007;G;2;26;;;;Servicios sociales con medios ajenos
2007;G;3;;;;;Gastos financieros
2007;G;3;30;;;;De deuda pública en moneda nacional
2007;G;3;30;300;;;Intereses
2007;G;3;30;301;;;Gastos de emisión, modificación y cancelación
2007;G;3;30;302;;;Diferencias de cambio devengadas en Eurobonos emitidos en monedas del área euro
2007;G;3;30;309;;;Otros gastos financieros
2007;G;3;31;;;;De préstamos en moneda nacional
2007;G;3;31;310;;;Intereses
2007;G;3;31;311;;;Gastos de emisión, modificación y cancelación
2007;G;3;31;312;;;Diferencias de cambio devengadas en  préstamos concertados en monedas del área euro
2007;G;3;31;319;;;Otros gastos financieros
2007;G;3;32;;;;De deuda pública en moneda extranjera
2007;G;3;32;320;;;Intereses
2007;G;3;32;321;;;Gastos de emisión, modificación y cancelación
2007;G;3;32;322;;;Diferencias de cambio
