EJERCICIO;CENTRO GESTOR;ECONOMICA;FINANCIACION;ITEM;DESCRIPCION;IMPORTE
2009;13102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;79995560
2009;14113;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;705985910
2009;19101;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;23881000000
2009;19102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;526590000
2009;22102;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;1509620760
2009;60001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;112436600000
2009;98001;1;;;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;77041050300
2009;98001;10;;;Sobre la renta;75927000000
2009;98001;100;;;De las personas físicas;43167000000
2009;98001;100;;00;Impuesto sobre la Renta de las Personas Físicas;43427000000
2009;98001;100;;99;Asignacion tributaria a la Iglesia Catolica;-260000000
2009;98001;101;;;De sociedades;30085000000
2009;98001;101;;00;Impuesto sobre Sociedades;30085000000
2009;98001;102;;;De no residentes;2675000000
2009;98001;102;;00;Impuesto sobre la Renta de no residentes;2675000000
2009;98001;11;;;Sobre el capital;56000000
2009;98001;119;;;Otros impuestos sobre el capital;56000000
2009;98001;119;;00;Impuesto General sobre Sucesiones y Donaciones.;52000000
2009;98001;119;;01;Impuesto sobre el Patrimonio;4000000
2009;13102;12;;;Cotizaciones sociales;79995560
2009;14113;12;;;Cotizaciones sociales;705985910
2009;19101;12;;;Cotizaciones sociales;23881000000
2009;19102;12;;;Cotizaciones sociales;526590000
2009;22102;12;;;Cotizaciones sociales;1509620760
2009;60001;12;;;Cotizaciones sociales;112436600000
2009;98001;12;;;Cotizaciones sociales;1058050300
2009;13102;120;;;Cotizaciones de los regímenes especiales de funcionarios;79995560
2009;14113;120;;;Cotizaciones de los regímenes especiales de funcionarios;705985910
2009;22102;120;;;Cotizaciones de los regímenes especiales de funcionarios;1509620760
2009;98001;120;;;Cotizaciones de los regímenes especiales de funcionarios;1058050300
2009;98001;120;;00;Cuotas de Derechos Pasivos;1058050300
2009;13102;120;;01;Cuotas de funcionarios a Mutualidades;20034810
2009;14113;120;;01;Cuotas de funcionarios a Mutualidades;103451210
2009;22102;120;;01;Cuotas de funcionarios a Mutualidades;365764640
2009;13102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;59888750
2009;14113;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;602534700
2009;22102;120;;02;Aportación obligatoria del Estado a las Mutualidades de funcionarios;1143856120
2009;13102;120;;03;Cuotas sociales Mutualidad Benéfica de Funcionarios de la Justicia Municipal;24000
2009;13102;120;;04;Cuotas sociales de Previsión de Funcionarios de la Administración de Justicia;20000
2009;13102;120;;05;Cuotas sociales Mutualidad Benéfica de Funcionarios del Cuerpo Auxiliar de la Administración de Justicia;28000
2009;60001;121;;;Cotizaciones del Regimen General;82364790000
