EJERCICIO;CENTRO GESTOR;DESCRIPCION CORTA;DESCRIPCION LARGA
2009;01;;Casa De Su Majestad El Rey
2009;01001;;Casa De Su Majestad El Rey
2009;02;;Cortes Generales
2009;02001;;Cortes Generales
2009;02002;;Congreso De Los Diputados
2009;02003;;Senado
2009;02004;;Junta Electoral Central
2009;02005;;Defensor Del Pueblo
2009;03;;Tribunal De Cuentas
2009;03001;;Tribunal, Fiscalía Y Servicios Generales
2009;04;;Tribunal Constitucional
2009;04001;;Tribunal Constitucional
2009;05;;Consejo De Estado
2009;05001;;Consejo De Estado
2009;06;;Deuda Pública
2009;06001;;Bonos, Obligaciones Y Otras Deudas
2009;06002;;Préstamos
2009;06003;;Letras Del Tesoro
2009;06004;;Deudas Asumidas
2009;06005;;Obligaciones Diversas
2009;07;;Clases Pasivas
2009;07001;;Haberes Pasivos De Carácter Civil Y Militar
2009;07002;;Pensiones E Indemnizaciones De Clases Pasivas
2009;07003;;Pensiones Indemnizatorias De Carácter Civil Y Militar
2009;08;;Consejo General Del Poder Judicial
2009;08001;;Consejo General Del Poder Judicial
2009;12;;Ministerio De Asuntos Exteriores Y De Cooperación
2009;12001;;Ministerio, Subsecretaría Y Servicios Generales
2009;12002;;Secretaría De Estado Para La Unión Europea
2009;12003;;Secretaría De Estado De Cooperación Internacional
2009;12004;;Secretaría De Estado De Asuntos Exteriores
2009;12005;;Secretaría De Estado Para Iberoamérica
2009;12301;;Instituto Cervantes
2009;12401;;Ag. Española De Cooperación Internacional Para El Desarrollo
2009;13;;Ministerio De Justicia
2009;13001;;Ministerio, Subsecretaría Y Servicios Generales
2009;13002;;Dir. General De Relaciones Con La Administración De Justicia
2009;13003;;Dirección General De Los Registros Y Del Notariado
2009;13004;;Abogacía Gral. Del Estado-Dir. Del Serv. Juridico Del Estado
2009;13101;;Centro De Estudios Jurídicos
2009;13102;;Mutualidad General Judicial
2009;13301;;Agencia Española De Protección De Datos
2009;14;;Ministerio De Defensa
2009;14001;;Ministerio Y Subsecretaría
2009;14002;;Cuartel General Del Emad
2009;14003;;Secretaría De Estado De La Defensa
2009;14012;;Ejército De Tierra
2009;14017;;Armada
2009;14022;;Ejército Del Aire
2009;14104;;Fondo De Explotación De Servicios De Cría Caballar Y Remonta
2009;14107;;Gerencia De Infraestructura Y Equipamiento De La Defensa
2009;14111;;Canal De Experiencias Hidrodinámicas De El Pardo
2009;14113;;Instituto Social De Las Fuerzas Armadas
2009;14204;;Servicio Militar De Construcciones
2009;14205;;Instituto Nacional De Técnica Aeroespacial Esteban Terradas
2009;14206;;Instituto Para La Vivienda De Las Fuerzas Armadas
2009;14301;;Centro Nacional De Inteligencia
2009;15;;Ministerio De Economía Y Hacienda
2009;15001;;Ministerio, Subsecretaría Y Servicios Generales
2009;15002;;Secretaría General Técnica
2009;15003;;Inspección General Del Ministerio De Economía Y Hacienda
2009;15004;;Dirección General Del Patrimonio Del Estado
2009;15005;;Secretaría De Estado De Hacienda Y Presupuestos
2009;15006;;Secretaría General De Hacienda
2009;15007;;Dirección General De Tributos
2009;15008;;Dirección General Del Catastro
2009;15009;;Tribunal Económico-Administrativo Central
2009;15011;;Intervención General De La Administración Del Estado
2009;15012;;Secretaría General De Presupuestos Y Gastos
2009;15013;;Dirección General De Costes De Personal Y Pensiones Públicas
2009;15014;;Dirección General De Fondos Comunitarios
2009;15015;;Dirección General De Presupuestos
2009;15016;;Secretaría De Estado De Economía
2009;15017;;Dirección General De Política Económica
2009;15018;;D. G. De Análisis Macroeconómico Y Economía Internacional
2009;15019;;Dirección General Del Tesoro Y Política Financiera
2009;15020;;Dirección General De Seguros Y Fondos De Pensiones
2009;15021;;Dirección General De Financiación Internacional
2009;15022;;Secretaría General De Financiación Territorial
2009;15024;;Secret. Gral. De Política Económica Y Economía Internacional
2009;15101;;Instituto De Estudios Fiscales
2009;15103;;Instituto De Contabilidad Y Auditoría De Cuentas
2009;15104;;Comisionado Para El Mercado De Tabacos
2009;15105;;Instituto Nacional De Estadística
2009;15202;;Parque Móvil Del Estado
2009;15302;;Agencia Estatal De Administración Tributaria
2009;15303;;Comisión Nacional De La Competencia
2009;16;;Ministerio Del Interior
2009;16001;;Ministerio, Subsecretaría Y Servicios Generales
2009;16002;;Secretaría De Estado De Seguridad
2009;16003;;Dirección General De La Policía Y De La Guardia Civil: Policía
2009;16004;;Dirección General De La Policía Y De La Guardia Civil: Guardia Civil
2009;16005;;Secretaría General De Instituciones Penitenciarias
2009;16101;;Jefatura De Tráfico
2009;16102;;Gerencia De Infraestr. Y Equipam. De La Seguridad Del Estado
2009;16201;;Trabajo Penitenciario Y Formación Para El Empleo
2009;17;;Ministerio De Fomento
2009;17001;;Ministerio, Subsecretaría Y Servicios Generales
2009;17002;;Dirección General De Programación Económica
2009;17003;;Secretaría General Técnica
2009;17018;;Dirección General Del Instituto Geográfico Nacional
2009;17019;;Secretar. De Estado De Planificación Y Relaciones Institucionales
2009;17020;;Secretaría De Estado De Infraestructuras
2009;17031;;Secretaría General De Transportes
2009;17032;;Dirección General De Marina Mercante
2009;17034;;Dirección General De Aviación Civil
2009;17038;;Dirección General De Carreteras
2009;17039;;Dirección General De Transportes Por Carretera
2009;17040;;Dirección General De Ferrocarriles
2009;17238;;Centro De Estudios Y Experimentación De Obras Públicas
2009;17239;;Centro Nacional De Información Geográfica
2009;17401;;Agencia Estatal De Seguridad Aérea
2009;18;;Ministerio De Educación, Política Social Y Deporte
2009;18001;;Ministerio, Subsecretaría Y Servicios Generales
2009;18002;;Secretaría General Tecnica
2009;18003;;Secretaría De Estado De Educación Y Formación
2009;18004;;Dir. Gral. De Evaluación Y Ordenación Del Sistema Educativo
2009;18005;;Dirección General De Formación Profesional
2009;18006;;Dirección General De Cooperación Territorial
2009;18007;;S.e. De Pol. Social, Familias Y Atención A La Depend. Y A La Discapac.
2009;18008;;Dirección General De Política Social
2009;18009;;Dirección General De Las Familias Y La Infancia
2009;18010;;D. G. De Coordinación De Políticas Sectoriales Sobre Discapacidad
2009;18101;;Consejo Superior De Deportes
2009;18103;;Real Patronato Sobre Discapacidad
2009;18401;;Agencia Estatal Antidopaje
2009;19;;Ministerio De Trabajo E Inmigración
2009;19001;;Ministerio Y Subsecretaría
2009;19002;;Secretaría De Estado De La Seguridad Social
2009;19003;;Secretaría General De Empleo
2009;19007;;Secretaría De Estado De Inmigración Y Emigración
2009;19101;;Servicio Público De Empleo Estatal
2009;19102;;Fondo De Garantía Salarial
2009;19104;;Instituto Nacional De Seguridad E Higiene En El Trabajo
2009;19301;;Consejo Económico Y Social
2009;20;;Ministerio De Industria, Turismo Y Comercio
2009;20001;;Ministerio, Subsecretaría Y Servicios Generales
2009;20002;;Secretaría General Técnica
2009;20003;;Secretaría De Estado De Comercio
2009;20004;;Secretaría De Estado De Turismo
2009;20005;;Secretaría General De Comercio Exterior
2009;20006;;Dirección General De Comercio E Inversiones
2009;20007;;Dirección General De Política Comercial
2009;20012;;Secr. De Est. De Telecomun. Y Para La Sociedad De La Información
2009;20013;;Dirección General De Telecomunicaciones
2009;20014;;Dir. Gral. Para El Desarrollo De La Sociedad De La Informac.
2009;20015;;Secretaría General De Industria
